gene	cell_logFC	cell_FDR	pct_cluster2	pct_cluster0	pb_logFC	pb_FDR	pb_AveExpr	pb_t	pb_P	direction_concordant	cell_sig	pb_sig	both_sig	both_sig_same_direction
ZNF331	0.037910802590525	2.42135039529042e-45	0.232	0.114	0.00147739991038795	0.992460819700302	6.36649961877327	0.0174513208977345	0.986132964435699	TRUE	TRUE	FALSE	FALSE	FALSE
ZNF333	0.0357509191611228	5.52422053774429e-35	0.151	0.07							TRUE	FALSE	FALSE	FALSE
ZNF335	-0.0161109701401143	8.76057051660389e-14	0.092	0.048							TRUE	FALSE	FALSE	FALSE
ZNF337	0.0159192520703091	1.09449016619271e-31	0.157	0.076							TRUE	FALSE	FALSE	FALSE
ZNF33A	0.153968195049043	3.92573600094218e-61	0.366	0.189	0.153348171647297	0.062921633110057	7.39113047398242	2.45043567486083	0.0171225153094697	TRUE	TRUE	FALSE	FALSE	FALSE
ZNF33B	0.0742832100210837	1.31234489030501e-31	0.155	0.076	0.0185407520980647	0.919493375297267	5.87378497200118	0.165522363947163	0.869074840309021	TRUE	TRUE	FALSE	FALSE	FALSE
ZNF341	-0.00292094816763475	8.23831669186678e-11	0.057	0.027							TRUE	FALSE	FALSE	FALSE
ZNF345	-0.0144012007193018	3.22946994185045e-12	0.082	0.043							TRUE	FALSE	FALSE	FALSE
ZNF346	-0.0113968908535443	2.29303044448581e-25	0.145	0.074							TRUE	FALSE	FALSE	FALSE
ZNF347	0.0194401340357595	1.51216188348968e-19	0.076	0.034							TRUE	FALSE	FALSE	FALSE
ZNF354A	0.0625299563628281	1.72644387348013e-24	0.097	0.044							TRUE	FALSE	FALSE	FALSE
ZNF354B	-0.0514035288374896	2.58108522854269e-15	0.083	0.041							TRUE	FALSE	FALSE	FALSE
ZNF354C	-0.00617471204936695	2.23215958405491e-07	0.054	0.028							TRUE	FALSE	FALSE	FALSE
ZNF362	0.110088243006873	1.70503374819635e-52	0.238	0.112	0.0769914985515978	0.551636502790131	6.49212276252988	0.907886091899678	0.367476293110896	TRUE	TRUE	FALSE	FALSE	FALSE
ZNF365	-0.105251368116564	1	0.066	0.048							FALSE	FALSE	FALSE	FALSE
ZNF383	0.0419670054718661	1.70050726323361e-21	0.078	0.033							TRUE	FALSE	FALSE	FALSE
ZNF384	-0.0120731501144777	4.68623187220568e-12	0.058	0.027							TRUE	FALSE	FALSE	FALSE
ZNF385A	0.00185960299035365	4.4689227107817e-10	0.071	0.037							TRUE	FALSE	FALSE	FALSE
ZNF385B	-0.313335565681954	1	0.116	0.114	-0.806216138085223	7.09759457284954e-08	5.62052258896161	-7.12341971958857	1.35555062313387e-09	TRUE	FALSE	TRUE	FALSE	FALSE
ZNF385D	-0.288903251925728	1	0.164	0.135	-0.562876851083896	0.000142034598297406	5.86535818859261	-4.81938083801451	9.78050026531486e-06	TRUE	FALSE	TRUE	FALSE	FALSE
ZNF394	0.01799967749846	3.52869189706762e-26	0.116	0.054							TRUE	FALSE	FALSE	FALSE
ZNF397	0.000444632133097977	2.34903204529711e-36	0.199	0.099	0.0161382215384433	0.901079263979044	6.25599449455445	0.206948137205339	0.836732874304437	TRUE	TRUE	FALSE	FALSE	FALSE
ZNF398	0.0422952184741316	9.69341110539361e-28	0.147	0.074							TRUE	FALSE	FALSE	FALSE
ZNF407	0.157787842662765	1.28620054453562e-55	0.459	0.262	0.064229146569282	0.450005316576185	8.20847892796258	1.12243722968153	0.266032217246518	TRUE	TRUE	FALSE	FALSE	FALSE
ZNF41	0.0193312348798019	8.18729696631717e-23	0.103	0.048							TRUE	FALSE	FALSE	FALSE
ZNF420	-0.0240544611680124	2.69528923051674e-16	0.11	0.058							TRUE	FALSE	FALSE	FALSE
ZNF428	-0.227419958100391	1	0.126	0.116							FALSE	FALSE	FALSE	FALSE
ZNF429	-0.0603054698224018	2.57284260946646e-07	0.095	0.057							TRUE	FALSE	FALSE	FALSE
ZNF43	0.0536047091686071	7.5074264903389e-31	0.151	0.074	-0.0491664672271363	0.775414176639007	5.93065627870177	-0.459994286731295	0.647139731386916	FALSE	TRUE	FALSE	FALSE	FALSE
ZNF430	0.0357562281619968	5.47768996374444e-35	0.171	0.083	-0.0299250534295979	0.840368046680275	5.95827089640253	-0.332696858915756	0.740492629757805	FALSE	TRUE	FALSE	FALSE	FALSE
ZNF431	0.158451219712036	5.25802866882773e-72	0.29	0.131	0.110589437006495	0.246543475679166	6.75423110437352	1.62430585991139	0.109416636078163	TRUE	TRUE	FALSE	FALSE	FALSE
ZNF432	0.000930603583479628	5.04038083650835e-15	0.09	0.046							TRUE	FALSE	FALSE	FALSE
