gene	cell_logFC	cell_FDR	pct_cluster2	pct_cluster0	pb_logFC	pb_FDR	pb_AveExpr	pb_t	pb_P	direction_concordant	cell_sig	pb_sig	both_sig	both_sig_same_direction
BLNK	0.335819065061383	4.64690630609838e-95	0.679	0.394	0.231605614483852	0.00010108194813174	8.9426378878807	4.93033588076015	6.52224760962258e-06	TRUE	TRUE	TRUE	TRUE	TRUE
PLA2G4A	0.240330296031716	1.2162643129912e-83	0.449	0.229	0.309862139544439	0.000107009973450861	7.83320788428045	4.91370877394327	6.93204112637558e-06	TRUE	TRUE	TRUE	TRUE	TRUE
TLR2	0.285298165533711	2.43565358712648e-56	0.542	0.334	0.298701486851938	0.000109510806440548	7.64124273845098	4.90632646261666	7.12197287486352e-06	TRUE	TRUE	TRUE	TRUE	TRUE
GAB2	0.307723008905437	1.9477270109287e-69	0.855	0.587	0.204630711828278	0.00011926468922407	9.90255159350641	4.87663073660241	7.93881251912322e-06	TRUE	TRUE	TRUE	TRUE	TRUE
WASHC4	0.240157256658379	1.0731227428753e-89	0.581	0.309	0.222807927866577	0.000147798876660566	8.26240997167442	4.80741724252522	1.02151225644002e-05	TRUE	TRUE	TRUE	TRUE	TRUE
ST8SIA4	0.254075676317672	1.14837057999336e-70	0.567	0.325	0.254296467593499	0.000156553178016979	8.19045274637386	4.78953902386732	1.09000299920009e-05	TRUE	TRUE	TRUE	TRUE	TRUE
FAM13A	0.19012812526719	8.87905797256595e-52	0.624	0.388	0.203821897989515	0.000161856899826749	8.41117719997549	4.77833660285165	1.13518611202132e-05	TRUE	TRUE	TRUE	TRUE	TRUE
APBB1IP	0.303085390615082	4.83161977369081e-71	0.965	0.798	0.157944228430166	0.000164652615090967	11.1295718334405	4.77160971138435	1.16319240959444e-05	TRUE	TRUE	TRUE	TRUE	TRUE
B3GNT5	0.277000125337514	3.8701951975095e-93	0.566	0.3	0.283473460262177	0.00019487214237968	8.31285668635803	4.72102382630433	1.396558837253e-05	TRUE	TRUE	TRUE	TRUE	TRUE
DOCK4	0.284400989658502	1.34400198224733e-65	0.992	0.94	0.180888858288449	0.000195444213895036	12.6044267476668	4.71922610915416	1.40564316037746e-05	TRUE	TRUE	TRUE	TRUE	TRUE
ZEB2	0.180889360741421	1.33800450256058e-29	0.917	0.734	0.163750953424748	0.000198722959073986	10.4124797312971	4.71265151889292	1.43936037686845e-05	TRUE	TRUE	TRUE	TRUE	TRUE
SRGAP1	0.364156681043609	2.80604493019897e-78	0.74	0.482	0.226039486185317	0.000208159615129604	9.32066521571094	4.69588787855182	1.52894591066886e-05	TRUE	TRUE	TRUE	TRUE	TRUE
MAML3	0.300722888268431	5.3215362549932e-63	0.903	0.683	0.180832527944153	0.000215933004325623	10.5161849144283	4.68090994612148	1.61357741054342e-05	TRUE	TRUE	TRUE	TRUE	TRUE
WSB1	0.115473415650176	4.63293981576337e-34	0.76	0.506	0.214097866809757	0.000217639114220974	8.81173562938379	4.67777231498848	1.63187706148856e-05	TRUE	TRUE	TRUE	TRUE	TRUE
PHC2	0.233258810131229	2.21310135257274e-70	0.58	0.332	0.235262829512649	0.000226868038425109	8.18292181513944	4.66338193098803	1.71843426198055e-05	TRUE	TRUE	TRUE	TRUE	TRUE
SLC8A1	0.178697039745144	4.34072983015688e-26	0.96	0.845	0.14146745123705	0.000231685650249259	11.2247019482635	4.65658898484601	1.76083457725782e-05	TRUE	TRUE	TRUE	TRUE	TRUE
TBC1D9	0.234577177643113	1.2523642315232e-79	0.498	0.265	0.223199340286367	0.000233868970192616	7.94624265045045	4.65210861901968	1.78935707874993e-05	TRUE	TRUE	TRUE	TRUE	TRUE
PHC3	0.224461099380516	1.53548426836268e-79	0.527	0.279	0.254525615217824	0.000240220949202095	7.96820881350603	4.64370391289513	1.8440832876774e-05	TRUE	TRUE	TRUE	TRUE	TRUE
ENTPD1	0.273828184878104	7.89944316250172e-71	0.673	0.416	0.255867901254751	0.000253311803785493	9.05355332074705	4.62611348159651	1.96395787683728e-05	TRUE	TRUE	TRUE	TRUE	TRUE
ATP8B4	0.245055604308554	2.50502415642491e-58	0.902	0.668	0.160899005700814	0.00026227054747061	10.3067419830969	4.61547563301396	2.0401049981774e-05	TRUE	TRUE	TRUE	TRUE	TRUE
SCIN	0.345923450887964	4.63421319320118e-84	0.362	0.175	0.317463344391183	0.000273659471630983	7.04020559272557	4.60083447485045	2.14963318700185e-05	TRUE	TRUE	TRUE	TRUE	TRUE
KCNK13	0.239924338891909	9.13810432589032e-58	0.49	0.289	0.23244883519538	0.000302534738581502	8.36231570426891	4.56817265697881	2.41503119551161e-05	TRUE	TRUE	TRUE	TRUE	TRUE
FOXN3	0.296435277679564	2.50992478844365e-71	0.971	0.825	0.161439863334169	0.0003052725680449	11.2788003328133	4.56385078735463	2.45245750915949e-05	TRUE	TRUE	TRUE	TRUE	TRUE
RANBP9	0.229170038164431	5.54281039232512e-77	0.506	0.272	0.256383096746792	0.000321343778779069	7.83455546486733	4.5467512022293	2.60615459453568e-05	TRUE	TRUE	TRUE	TRUE	TRUE
FAM135A	0.202628645065832	1.64703694779803e-66	0.586	0.337	0.245727903726343	0.000324612810255549	8.25291674243652	4.54301705419663	2.64094584217088e-05	TRUE	TRUE	TRUE	TRUE	TRUE
PELI1	0.273054757193414	7.09051956550378e-76	0.593	0.339	0.22186347295606	0.000353639152100775	8.55028430986538	4.51622758548387	2.90415217996556e-05	TRUE	TRUE	TRUE	TRUE	TRUE
SRGN	0.13371720000018	1.15945288775796e-28	0.402	0.258	0.407057263465217	0.000417983864590974	7.10846627710714	4.46455412602819	3.48586390515808e-05	TRUE	TRUE	TRUE	TRUE	TRUE
