Rank	Term	P_value	Z_score	Combined_score	Overlapping_genes	Adjusted_p_value	Old_p_value	Old_adjusted_p_value	Library	Query_label	TF	neglog10_adjP
21	NCOR 22465074 ChIP-Seq MACROPHAGES Mouse	2.8103894523730026e-09	4.521573604060913	89.02952548550144	B4GALT1;USP53;SAMSN1;SPRED1;RAP1A;CHST11;ST8SIA4;LYN;P2RY12;UVRAG;IFNGR1;KCNK13;PLA2G4A;RANBP9;GAB2;TM6SF1;FBXO11;MED13L;ZEB2;PTPRC;MGAT4A;PELI1;TAB2;MAML3;IL6ST;WDFY4;RHOQ;TLR2	9.515175717320022e-08	0	0	ChEA_2022	primary_candidate	NCOR	7.02158318716069
22	Nerf2 26677805 Chip-Seq MACROPHAGESS Mouse	2.9475199144956236e-09	5.498402387176847	108.00127870614128	MEF2A;ENTPD1;DOCK4;MBNL1;RBM47;RNF13;DOCK8;ANKRD44;TCF12;KCNK13;TBC1D9;PTPRJ;GAB2;APBB1IP;MKLN1;ZEB2;ELMO1;CPVL;RAF1;SRGAP2;SOCS6;PIK3AP1	9.52584845093813e-08	0	0	ChEA_2022	primary_candidate	NERF2	7.021096332067012
23	AF4 28076791 ChIP-Seq SEM Human Blood Leukemia	3.4685407261817296e-09	6.670539355235824	129.93898397004213	LYN;MBNL1;B4GALT1;TCF12;FBXO11;MED13L;ETV6;APBB1IP;ZEB2;PTPRC;CDK6;CHST11;GNAQ;GNB4;BMP2K;PELI1;PIK3AP1;PAG1	1.0722315027457434e-07	0	0	ChEA_2022	primary_candidate	AF4	6.969711437114765
24	SPI1 22096565 ChIP-ChIP GC-B Mouse	5.963043860274634e-09	5.275196750444275	99.9000131671771	LYN;P2RY12;UVRAG;ENTPD1;DOCK4;USP53;RNF13;DOCK8;PTPRJ;ARHGAP15;SAMSN1;ETV6;APBB1IP;CHST11;ELMO1;BLNK;HCLS1;RAF1;SRGAP2;ST6GALNAC3;PIK3AP1;PICALM	1.7665517436063602e-07	0	0	ChEA_2022	primary_candidate	SPI1	6.752873637236437
25	TP53 23651856 ChIP-Seq MEFs Mouse	8.417328425223462e-09	3.7374301675977653	69.48993949692219	RBM47;CEBPB;B4GALT1;BNC2;PTPRJ;ARHGAP15;PLD1;SAMSN1;SPRED1;CHST11;PDK4;DIP2B;SRGAP2;UVRAG;PHC2;MBNL1;PRKCH;ANKRD44;WNT5A;TCF12;PLA2G4A;FOXN3;PLXDC2;ARHGAP24;TGFBR1;SH3RF3;MKLN1;GNAQ;ELMO1;GNB4;BMP2K;MAML3;ST6GALNAC3;WDFY4;RIN2	2.393888204133553e-07	0	0	ChEA_2022	primary_candidate	TP53	6.6208961352418845
26	ESR1 22446102 ChIP-Seq UTERUS Mouse	1.4220262080448853e-08	4.825570980743395	87.19130208624954	LYN;UVRAG;PHC2;MBNL1;MAML2;BNC2;ANKRD44;TCF12;GAB2;PLD1;MED13L;FGD4;ZEB2;SPRED1;CHST11;ELMO1;BMP2K;PDK4;BLNK;MAML3;IL6ST;SRGAP2;PAG1	3.7910748761829885e-07	0	0	ChEA_2022	primary_candidate	ESR1	6.421237637891696
27	LEF1 29337183 ChIP-Seq mESC Mouse Stem	1.439648687158097e-08	3.765278732315832	67.98693319628137	DOCK4;RBM47;MAML2;USP53;BNC2;DOCK8;PLD1;CHST11;BLNK;DIP2B;SRGAP2;RREB1;PAG1;LYN;UVRAG;MBNL1;PRKCH;ANKRD44;TCF12;TBC1D9;FOXN3;PLXDC2;ARHGAP24;MED13L;ETV6;APBB1IP;GNAQ;BMP2K;PELI1;MAML3;IL6ST;WDFY4;RIN2	3.7910748761829885e-07	0	0	ChEA_2022	primary_candidate	LEF1	6.421237637891696
28	OLIG2 23332759 ChIP-Seq OLIGODENDROCYTES Mouse	3.3138421669611216e-08	4.085508640419251	70.36296856381364	B4GALT1;RNF13;CCNH;ARHGAP15;FGD4;RAP1A;SCIN;CHST11;ST8SIA4;PDK4;SRGAP2;P2RY12;MBNL1;ANKRD44;WNT5A;TCF12;PLXDC2;FBXO11;ARHGAP24;ZEB2;GNAQ;MGAT4A;ELMO1;IL6ST;CPVL;PIK3AP1;RHOQ	8.414792073961991e-07	0	0	ChEA_2022	primary_candidate	OLIG2	6.074956610792922
29	SCL 19346495 ChIP-Seq HPC-7 Human	6.63059431781749e-08	11.465386852821409	189.51122224974844	ENTPD1;ZEB2;MBNL1;SPRED1;RAP1A;MAML2;ELMO1;PTPRJ;MAML3;RREB1	1.6256388137821502e-06	0	0	ChEA_2022	primary_candidate	SCL	5.788975940049365
30	TCFCP2L1 18555785 Chip-Seq ESCs Mouse	7.274523773008162e-08	4.124551971326165	67.79238343962919	PTPRJ;NPL;ARHGAP15;PLD1;SPRED1;ST8SIA4;SRGAP2;PAG1;MBNL1;ANKRD44;PLA2G4A;PLXDC2;PHC3;ARHGAP24;APBB1IP;MKLN1;ZEB2;FAM135A;PTPRC;MGAT4A;MAML3;CPVL;ST6GALNAC3;RIN2;TLR2	1.7240621342029343e-06	0	0	ChEA_2022	primary_candidate	TCFCP2L1	5.763447086507123
31	TEAD4 22529382 ChIP-Seq TROPHECTODERM Mouse	7.625997138907278e-08	3.906879561898546	64.03030881439187	DOCK4;USP53;RNF13;PTPRJ;ARHGAP15;PLD1;FGD4;CHST11;PDK4;BLNK;DIP2B;RREB1;PAG1;LYN;UVRAG;ANKRD44;FOXN3;GAB2;ARHGAP24;ETV6;SH3RF3;ELMO1;PELI1;MAML3;IL6ST;RAF1;ST6GALNAC3	1.74905934379454e-06	0	0	ChEA_2022	primary_candidate	TEAD4	5.7571954551037825
32	PPAR 26484153 Chip-Seq NCI-H1993 Human	1.9112280301778513e-07	4.806362157694051	74.35610320944058	MEF2A;RBM47;WSB1;PRKCH;B4GALT1;MAML2;USP53;CCNH;TBC1D9;FGD4;MKLN1;ZEB2;CDK6;MGAT4A;PDK4;IL6ST;SOCS6;PAG1;PICALM	4.214284937222792e-06	0	0	ChEA_2022	primary_candidate	PPAR	5.37527610411471
33	SCL 21571218 ChIP-Seq MEGAKARYOCYTES Human	1.9559972282468655e-07	4.006226018967639	61.88495651775101	LYN;CX3CR1;DOCK4;MBNL1;CEBPB;WSB1;PTPRJ;FOXN3;ARHGAP15;ARHGAP24;ETV6;APBB1IP;FGD4;MKLN1;RAP1A;CHST11;GNAQ;SLC9A9;ELMO1;IL6ST;SRGAP2;ST6GALNAC3;PIK3AP1;PAG1	4.214284937222792e-06	0	0	ChEA_2022	primary_candidate	SCL	5.37527610411471
34	YAP1 20516196 ChIP-Seq MESCs Mouse	2.934983851821854e-07	3.6281130713653242	54.57187709317248	MAML2;RNF13;CCNH;DOCK8;PLD1;SAMSN1;FGD4;CHST11;ST8SIA4;PDK4;BLNK;SRGAP2;SOCS6;RREB1;MEF2A;P2RY12;UVRAG;PLA2G4A;RANBP9;PLXDC2;FBXO11;ETV6;MKLN1;SLC9A9;PELI1;MAML3;ST6GALNAC3	6.137569172486288e-06	0	0	ChEA_2022	primary_candidate	YAP1	5.212003600195279
35	SUZ12 20075857 ChIP-Seq MESCs Mouse	6.743549438717899e-07	2.9225120701999154	41.52746227047419	DOCK4;CEBPB;BNC2;DOCK8;PTPRJ;PLD1;CALCR;SCIN;CHST11;ST8SIA4;TBC1D12;DIP2B;RREB1;PAG1;IL13RA1;LYN;MEF2A;MBNL1;PRKCH;ANKRD44;WNT5A;TCF12;KCNK13;TBC1D9;GAB2;PLXDC2;TM6SF1;ARHGAP24;TGFBR1;APBB1IP;SH3RF3;ZEB2;FAM135A;CDK6;MGAT4A;BMP2K;MAML3;PIK3AP1;RHOQ	1.3699039002652645e-05	0	0	ChEA_2022	primary_candidate	SUZ12	4.8633098978424
36	GATA1 21571218 ChIP-Seq MEGAKARYOCYTES Human	1.1670173585831376e-06	3.2892902408111535	44.93518913408349	CX3CR1;MAML2;RNF13;CCNH;SAMSN1;FGD4;RAP1A;CHST11;RREB1;LYN;MBNL1;IFNGR1;FOXN3;PLXDC2;FBXO11;TGFBR1;MED13L;ETV6;ZEB2;FAM135A;CDK6;GNAQ;SLC9A9;ELMO1;MAML3;IL6ST;ST6GALNAC3;RIN2	2.3048592832016967e-05	0	0	ChEA_2022	primary_candidate	GATA1	4.637355584111428
