TF	n_libraries_supported	best_adjusted_p	best_combined_score	supporting_libraries	best_term	aggregate_score
OLIG2	1	1.5329794149781612e-14	244.1600763812148	ChEA_2022	OLIG2 23332759 ChIP-Seq OLIGODENDROCYTES Mouse	14.292579887893535
GBX2	1	1.458966528251117e-12	612.2722571995117	ChEA_2022	GBX2 23144817 ChIP-Seq PC3 Human	11.835954671617575
CTBP2	1	3.1692364578558957e-12	251.15481014887945	ChEA_2022	CTBP2 25329375 ChIP-Seq LNCAP Human	11.499045356735554
MTF2	1	4.477414755251863e-12	153.5713757261956	ChEA_2022	MTF2 20144788 ChIP-Seq MESCs Mouse	11.34897267385998
CTBP1	1	3.36409939234052e-11	203.66935313985363	ChEA_2022	CTBP1 25329375 ChIP-Seq LNCAP Human	10.47313118145101
TAL1	1	1.3148354779021785e-10	129.18634408943265	ChEA_2022	TAL1 30185409 ChIP-Seq HPC Mouse BoneMarrow Leukemia	21.174395082050324
YAP1	1	2.7070361945600917e-10	128.98222626474117	ChEA_2022	YAP1 20516196 ChIP-Seq MESCs Mouse	9.56750593743502
PHOX2B	1	2.9585678769144005e-10	127.6156074141298	ChEA_2022	PHOX2B 30127528 ChIP-Seq KELLY Human BrainNeuroblastoma	11.909027191968677
PAX3-FKHR	1	4.417401622633509e-10	166.76912440087887	ChEA_2022	PAX3-FKHR 20663909 ChIP-Seq RHABDOMYOSARCOMA Human	9.35483311363176
SMAD3	1	5.359067357112657e-08	99.1645331280395	ChEA_2022	SMAD3 21741376 ChIP-Seq EPCs Human	15.119180378104097
POU3F2	1	1.0803588547324223e-07	91.79351197780633	ChEA_2022	POU3F2 20337985 ChIP-ChIP 501MEL Human	6.966431964194817
RUNX2	1	2.9869546173239667e-07	65.25361404813113	ChEA_2022	RUNX2 22187159 ChIP-Seq PCA Human	6.524774638656026
JARID2	1	8.67879513898863e-07	86.6020189030831	ChEA_2022	JARID2 20064375 ChIP-Seq MESCs Mouse	10.306955229816033
RNF2	1	1.0784499534183042e-06	80.20295199375583	ChEA_2022	RNF2 18974828 ChIP-Seq MESCs Mouse	17.03539093923747
FUS	1	4.026095699796165e-06	107.66339502391116	ChEA_2022	FUS 26573619 Chip-Seq HEK293 Human	5.395115906198623
TBX3	1	4.293586948869977e-06	79.77088281379895	ChEA_2022	TBX3 20139965 ChIP-Seq ESCs Mouse	10.73157563975116
KLF4	1	4.321197320137828e-06	74.97603795044829	ChEA_2022	KLF4 25985364 ChIP-Seq ATHEROSCLEROSIS LESION Mouse	5.925769408530715
ZNF217	1	4.946123261641334e-06	62.246468997645934	ChEA_2022	ZNF217 24962896 ChIP-Seq MCF-7 Human	5.30573506484823
NR3C1	1	5.354563128831011e-06	46.27168210970279	ChEA_2022	NR3C1 27076634 ChIP-Seq BEAS2B Human Lung Inflammation	13.706081570135996
SMAD2/3	1	8.612119151322586e-06	54.02337803684344	ChEA_2022	SMAD2/3 21741376 ChIP-Seq EPCs Human	5.064891601609817
EWS	1	1.322187227003483e-05	73.84744757017785	ChEA_2022	EWS 26573619 Chip-Seq HEK293 Human	4.878707042658869
TEAD4	1	1.608367641867014e-05	48.21020351493986	ChEA_2022	TEAD4 22529382 ChIP-Seq TROPHECTODERM Mouse	5.14395173848775
RING1B	1	2.0051911555441317e-05	47.68683090174601	ChEA_2022	RING1B 27294783 Chip-Seq ESCs Mouse	8.519856215719244
TCF3/E2A	1	5.109587271008548e-05	43.80131843832738	ChEA_2022	TCF3/E2A 22897851 ChIP-Seq JUKARTE6-1 Human	4.291614178762087
BMI1	1	6.780012223892777e-05	52.15010270585157	ChEA_2022	BMI1 23680149 ChIP-Seq NPCS Mouse	4.168771154530171
PPARD	1	8.047175134588134e-05	33.84609276083213	ChEA_2022	PPARD 21283829 ChIP-Seq MYOFIBROBLAST Human	4.264596685266577
JUN	1	8.357303248183436e-05	43.79465295036568	ChEA_2022	JUN 21703547 ChIP-Seq K562 Human	4.282876746711863
WT1	1	8.449097407060401e-05	32.84780822357948	ChEA_2022	WT1 25993318 ChIP-Seq PODOCYTE Human	4.0731929458129175
MBD3	1	8.449097407060401e-05	31.18392356231156	ChEA_2022	MBD3 35695185 ChIP-Seq nicBasalRootGanglia Mouse Embryo	4.073189683011251
MEIS1	1	9.792520584312276e-05	39.582047664394686	ChEA_2022	MEIS1 26253404 ChIP-Seq OPTIC CUPS Mouse	5.975626984958023
UBF1/2	1	9.792520584312276e-05	38.49053952817739	ChEA_2022	UBF1/2 26484160 Chip-Seq FIBROBLAST Human	4.41440815541532
CBX2	1	0.00011397782119468184	55.40159095085223	ChEA_2022	CBX2 27304074 Chip-Seq ESCs Mouse	3.943181280677137
FLI1	1	0.0001359206135300748	37.371973617037625	ChEA_2022	FLI1 21867929 ChIP-Seq TH2 Mouse	4.512417603853152
KDM2B	1	0.00015249745541848951	37.58987362839399	ChEA_2022	KDM2B 26808549 Chip-Seq REH Human	3.816745559924169
