TF	n_libraries_supported	best_adjusted_p	best_combined_score	supporting_libraries	best_term	aggregate_score
GATA2	2	0.000992989054730512	26.87278510844916	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	GATA2 19941826 ChIP-Seq K562 Human	12.311656194107982
POU5F1	2	0.0013940261778602118	41.38203798149618	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	POU5F1 26923725 Chip-Seq MESODERM Mouse	6.952357579014935
RCOR1	2	0.0022072263542929527	24.518772336245327	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	RCOR1 19997604 ChIP-ChIP NEURONS Mouse	3.8982426592432384
AHR	2	0.003518899526729863	27.959531957982303	ChEA_2022;TRRUST_Transcription_Factors_2019	AHR 22903824 ChIP-Seq MCF-7 Human	3.1647944754491886
TRIM28	2	0.00871803368833122	20.400666255753272	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	TRIM28 17542650 ChIP-ChIP NTERA2 Human	3.9871869816019467
ESR2	2	0.011155674036115754	26.75688382123247	ChEA_2022;TRRUST_Transcription_Factors_2019	ESR2 21235772 ChIP-Seq MCF-7 Human	2.6637055263957787
EZH2	2	0.013042709455455654	13.203491946469313	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	EZH2 27294783 Chip-Seq ESCs Mouse	4.984262524454671
NFYB	2	0.0204662679866707	11.495854966616667	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	NFYB 21822215 ChIP-Seq K562 Human	1.691995171605045
PPARA	2	0.07147025028139635	92.16840432528492	ChEA_2022;TRRUST_Transcription_Factors_2019	PPARA mouse	2.3402779856978753
CUX1	2	0.08740446916568721	92.89678500716381	ChEA_2022;TRRUST_Transcription_Factors_2019	CUX1 19635798 ChIP-ChIP MULTIPLE CANCER TYPES Human	1.8103158613641948
SMC3	2	0.09871998895941084	5.582966049463131	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	SMC3 22415368 ChIP-Seq MEFs Mouse	1.6114595326217798
ERG	2	0.13643231453419027	4.608535040826325	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	ERG 20887958 ChIP-Seq HPC-7 Mouse	1.5588121594788165
FOXP2	2	0.14919956005471843	5.162586653061318	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	FOXP2 23625967 ChIP-Seq PFSK-1 AND SK-N-MC Human	1.2623663847369273
MEF2A	2	0.17707224727785062	112.77461836050252	ChEA_2022;TRRUST_Transcription_Factors_2019	MEF2A mouse	2.1340667765873023
HOXB7	2	0.17707224727785062	67.37423003045056	ChEA_2022;TRRUST_Transcription_Factors_2019	HOXB7 human	1.4993827794398364
TFAP2C	2	0.17707224727785062	58.768318421882675	ChEA_2022;TRRUST_Transcription_Factors_2019	TFAP2C mouse	1.0260553961592138
RXRA	2	0.19444584066669582	24.83103038927071	ChEA_2022;TRRUST_Transcription_Factors_2019	RXRA human	0.8096993688515881
ATF2	2	0.19444584066669582	34.31599732708391	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	ATF2 mouse	0.8004834964604524
PGR	2	0.19444584066669582	17.88820673407011	ChEA_2022;TRRUST_Transcription_Factors_2019	PGR human	0.7130095756774274
PAX6	2	0.20462901171805425	7.830035336967146	ChEA_2022;TRRUST_Transcription_Factors_2019	PAX6 23342162 ChIP-ChIP BETA-FORBRAIN-LENS Mouse	1.29752010241157
SP1	2	0.26160882123897605	2.691713998182558	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	SP1 human	1.012761645994745
