TF	reference_n_libs	reference_best_adjP	reference_aggregate_score	pooledDown_n_libs	pooledDown_best_adjP	pooledDown_aggregate_score	joint_score
CEBPD	1	0.007013211167775326	2.9752341623064646	3	0.22071460691651446	1.8189683637547192	4.794202526061184
EP300	1	0.052373657345139574	2.459099336202369	2	0.07761314592431873	2.3339839626372636	4.793083298839633
CBX2	1	0.00011397782119468184	3.943181280677137	1	0.3620082348857428	0.5302039411598175	4.4733852218369545
BMI1	1	6.780012223892777e-05	4.168771154530171	1	0.8673064448965093	0.09056067126427925	4.259331825794451
RARB	1	0.015193874672693338	1.8183330916138745	1	0.051695680452021	2.374633212614535	4.19296630422841
FOXA2	1	0.004333133525648012	2.363197927961092	3	0.07695228425025613	1.7407816981526723	4.103979626113764
GATA3	1	0.5320121735251573	0.561902477971447	1	0.14826446644256622	3.3580987483184943	3.9200012262899415
ARNT	1	0.0006703744190466397	3.1736825663927735	1	0.23689665224314413	0.625441076561331	3.7991236429541044
EBF1	1	0.018384685909157615	2.556694863389084	1	0.18941944106056308	1.2409473922813339	3.797642255670418
CHD4	1	0.0019268647585901513	2.7151487662263243	1	0.10434417284362975	0.9815317993299089	3.696680565556233
AHR	1	0.001170113858276148	2.93177187704427	1	0.18497899559291084	0.7328775830347323	3.6646494600790023
CTNNB1	2	0.005419368679451528	3.0490937749378086	1	0.39106141761472746	0.5486843214659469	3.5977780964037556
BCAT	1	0.0011917988287110555	2.923797045731651	1	0.25966603622402024	0.585584851468516	3.509381897200167
EED	1	0.0005984760381237293	3.2229532332591853	1	0.7070277919851358	0.1505635145361142	3.3735167477952994
E2F1	2	0.04585595169520051	1.4043070965177282	2	0.24809847145245742	1.9303794860321122	3.3346865825498404
FOXP2	3	0.02004790409546191	2.4448495591237034	2	0.305802819746668	0.7080008550324192	3.1528504141561227
VDR	1	0.32440135084951843	1.0209166070483386	2	0.22340942277504902	2.049278445228154	3.0701950522764925
TCF3	2	0.220979569545698	1.0072514095555174	2	0.051695680452021	2.002685631690955	3.0099370412464728
PHC1	1	0.0014972660279556204	2.8247010291768477	1	0.7712878003480368	0.11278353792754613	2.9374845671043937
RXR	1	0.0308706360649275	1.5104560535338238	1	0.04881280275029655	1.3812509242281208	2.8917069777619444
TOP2B	1	0.0049853186977332955	2.302307073211337	1	0.2762791521735177	0.5586518853969166	2.8609589586082533
CDX2	1	0.41782266536662244	0.6267084465746771	1	0.11080171572749618	2.204272317892088	2.8309807644667653
SPI1	1	0.5914105247273652	0.22811910805121935	2	0.18297004624618057	2.5942108877380816	2.822329995789301
P53	1	0.00804023153300163	2.0947347075784424	1	0.24708003287455613	0.6719358983086086	2.766670605887051
POU2F1	1	0.02786906370032707	1.5548825159668374	1	0.20269518592834143	1.1347781135160013	2.6896606294828387
CREB1	3	0.4519108406910315	0.34495540429485744	3	0.2634280309250845	2.2706341820317544	2.6155895863266116
TBX2	1	0.3961968365650067	0.7485977732849153	1	0.16671882404010516	1.8242759881700248	2.57287376145494
KLF1	1	0.02294382838951019	1.6393341143459534	1	0.12777088365951766	0.8935681016288683	2.532902215974822
TCFCP2L1	1	0.04273208214463289	1.3692475768262327	1	0.24708003287455613	1.1429585749723625	2.512206151798595
