Rank	Term	P_value	Z_score	Combined_score	Overlapping_genes	Adjusted_p_value	Old_p_value	Old_adjusted_p_value	Library	Query_label	TF	neglog10_adjP
466	NRF2 20460467 ChIP-Seq MEFs Mouse	0.11915853279342607	1.5772425249169435	3.355268755293016	STARD13;SNX1;KLF6;FMNL2;SOAT1;P4HA1;CHSY1;CLTC;ZC3HAV1;RALGPS2	0.18677473538285622	0	0	ChEA_2022	pooled_ASD_up	NRF2	0.7286818702144806
467	GATA1 19941826 ChIP-Seq K562 Human	0.11932120577810376	1.6747917847643135	3.560500506092862	TNFAIP8;SEC14L1;GLB1;ZC3HAV1;TNFRSF1B;MPZL1;RUNX1;CORO1C	0.18677473538285622	0	0	ChEA_2022	pooled_ASD_up	GATA1	0.7286818702144806
468	REST 19997604 ChIP-ChIP NEURONS Mouse	0.12089292116300852	1.5068449154923924	3.1837373915813827	PTPN1;HERC4;P4HA1;RGS1;GNA12;ARID5A;LY96;ATP11A;TOP1;JAK3;SNCA;CDC42SE2	0.1888306097652975	0	0	ChEA_2022	pooled_ASD_up	REST	0.7239276044519279
469	RARA 24833708 ChIP-Seq LIVER Mouse	0.12116793093531057	1.4399124863259884	3.0390473802861075	C1QA;CEBPD;CLTC;DCAF6;PGS1;SDCBP;PLSCR1;KLF6;RAB20;HSPH1;KLHL6;TXNIP;INTS6;TLR5;PDE8A	0.1888566258288103	0	0	ChEA_2022	pooled_ASD_up	RARA	0.7238677738207733
470	CDX2 19796622 ChIP-Seq MESCs Mouse	0.12167132949133222	2.1654882898806895	4.561453591693629	SNX1;P4HA1;NEDD9;PHACTR2	0.18923774863439116	0	0	ChEA_2022	pooled_ASD_up	CDX2	0.7229922274036289
471	GATA2 20887958 ChIP-Seq HPC-7 Mouse	0.12209462074715002	1.4568926807364166	3.0637855093716024	C1QA;SLC11A1;STAT3;MITF;ELL2;DCAF6;RAB20;TAOK3;RGS1;DYM;PHACTR2;TXNIP;HSPA1B;HSPA1A	0.1894666631266181	0	0	ChEA_2022	pooled_ASD_up	GATA2	0.7224671935787108
472	PAX6 23342162 ChIP-ChIP BETA-FORBRAIN-LENS Mouse	0.12233688781910225	1.6641386782231853	3.496316529065697	PPP1CB;HERC4;MYO1E;ADAM9;ARID5B;NEDD9;CDC73;SNCA	0.1894666631266181	0	0	ChEA_2022	pooled_ASD_up	PAX6	0.7224671935787108
473	ELK4 26923725 Chip-Seq MESODERM Mouse	0.12363548380094577	1.9495252373813095	4.075322042137269	KDM4C;NUFIP2;CLTC;CTNNB1;SKAP2	0.19107302041964347	0	0	ChEA_2022	pooled_ASD_up	ELK4	0.7188006311556735
474	KLF4 26769127 Chip-Seq PDAC-Cell Line Human	0.12551693595528451	1.3997048611896992	2.904827908453063	RBM47;NUFIP2;MSN;NEDD9;RUNX1;GNA13;HERC4;SEC14L1;SOAT1;WNK1;STX6;TXNIP;BCAT1;PIK3AP1;MPZL1;RALGPS2;C1QC	0.19355372599626647	0	0	ChEA_2022	pooled_ASD_up	KLF4	0.713198463900476
475	FLI1 26923725 Chip-Seq HEMOGENIC-ENDOTHELIUM Mouse	0.12577020499073402	1.4301576209333022	2.9651440893582146	NUFIP2;CEBPD;SLC11A1;FNDC3B;ARID5B;ASAP1;ANO6;DUSP16;RUNX1;CNDP2;RAB31;VAPA;KLHL6;REL;ATP13A3	0.19355372599626647	0	0	ChEA_2022	pooled_ASD_up	FLI1	0.713198463900476
476	SUZ12 18974828 ChIP-Seq MESCs Mouse	0.126816406399871	1.4117011840024682	2.915183919085779	CEBPD;PDE3B;FNDC3B;ZC3HAV1;RUNX1;DOCK11;RAB31;RAB20;SCIN;CHSY1;REL;PGK1;PIK3AP1;B2M;PDE8A;SNCA	0.19475376697123045	0	0	ChEA_2022	pooled_ASD_up	SUZ12	0.7105141333524605
477	TAL1 22897851 ChIP-Seq JUKARTE6-1 Human	0.1293324141582033	1.4067716792726643	2.877367654238282	RB1;CAST;TNFAIP8;KDM4C;MBNL2;UBXN2B;UBE2D3;MSN;TNFRSF1B;DCAF6;P4HA1;TAOK3;AAK1;DYM;BCAT1;CDC42SE2	0.19820124685460502	0	0	ChEA_2022	pooled_ASD_up	TAL1	0.7028936177600702
478	TP63 19390658 ChIP-ChIP HaCaT Human	0.1307458800973479	2.449726231956197	4.983967250448663	RB1;CDC73;RUNX1	0.19994819738736674	0	0	ChEA_2022	pooled_ASD_up	TP63	0.6990825068505323
479	STAT3 19079543 ChIP-ChIP MESCs Mouse	0.13320800900873014	1.6278635669438317	3.2815180193690345	PTPN1;GLB1;STAT3;STX6;ARID5B;DYM;ATP11A;GAS7	0.20328821416572387	0	0	ChEA_2022	pooled_ASD_up	STAT3	0.6918877992820971
480	MEIS1 26253404 ChIP-Seq OPTIC CUPS Mouse	0.1336661967269226	1.4141693560780697	2.845888067544306	CAST;STARD13;TNFAIP8;MBNL2;FAM13A;NEDD9;MITF;PDS5B;PPP1CB;PGK1;GPR155;MPZL1;SKAP2;RALGPS2;GAS7	0.20356247876537586	0	0	ChEA_2022	pooled_ASD_up	MEIS1	0.691302269394487
481	GATA3 22897851 ChIP-Seq JUKARTE6-1 Human	0.13863137504197237	1.3892852731884815	2.7451399618572037	SRGN;PTPN1;TNFAIP8;STXBP3;CEBPD;PTGES3;UBE2D3;SNAP23;NEDD9;HSPH1;VAPA;WNK1;AAK1;DYM;TXNIP;CDC42SE2	0.21068510427376674	0	0	ChEA_2022	pooled_ASD_up	GATA3	0.6763661685228438
482	CCND1 20090754 ChIP-ChIP RETINA Mouse	0.13963447542854476	1.4026538549531	2.76144274100647	TNFAIP8;UBE2D3;SNAP23;ARID5B;RUNX1;CORO1C;PPP1CB;KLF6;PPME1;WNK1;GLB1;GNA12;AAK1;SHOC2;MGAT1	0.21141154135577256	0	0	ChEA_2022	pooled_ASD_up	CCND1	0.6748713074244939
483	FOXH1 21741376 ChIP-Seq ESCs Human	0.13968778997925876	1.3873670427266085	2.730817561998963	SRGN;SCARB2;C1QB;C1QA;STXBP3;NUFIP2;AGAP3;SNX30;DCAF6;PPP1CB;KLF6;CHST15;AAK1;BCAT1;GPR155;C1QC	0.21141154135577256	0	0	ChEA_2022	pooled_ASD_up	FOXH1	0.6748713074244939
484	RUNX1 22897851 ChIP-Seq JUKARTE6-1 Human	0.1423490056915601	1.382592739723436	2.6953278385828736	SRGN;SCARB2;UBXN2B;STXBP3;ACSL1;UBE2D3;FNDC3B;SNX30;KLF6;RAB31;VAPA;AAK1;FAM20C;PIK3AP1;GPR155;CDC42SE2	0.2145507694031555	0	0	ChEA_2022	pooled_ASD_up	RUNX1	0.6684699236997286
485	CSB 26484114 Chip-Seq FIBROBLAST Human	0.1423490056915601	1.382592739723436	2.6953278385828736	SCARB2;PTPN1;AGTPBP1;CEBPD;ZC3HAV1;RBPJ;ELL2;DUSP16;MYO1E;SEC14L1;WNK1;GNA12;TOP1;BCAT1;HSPA1B;MPZL1	0.2145507694031555	0	0	ChEA_2022	pooled_ASD_up	CSB	0.6684699236997286
486	SMAD4 21741376 ChIP-Seq ESCs Human	0.14288470079869625	1.381641507472139	2.688283731078651	PTPN1;FCGBP;PDE3B;ARID5B;NEDD9;ASAP1;DUSP16;PPP1CB;PGS1;PPME1;CHST15;REL;NUMB;DYM;CTNNB1;MGAT1	0.21491505408198963	0	0	ChEA_2022	pooled_ASD_up	SMAD4	0.6677331625646122
487	RBPJ 21746931 ChIP-Seq IB4 Human	0.14449867323456755	1.3787950261335546	2.6672582316568265	RANBP2;C1QB;C1QA;STXBP3;TNFRSF1B;DCAF6;FCGR2A;SOAT1;RGS1;STX6;REL;PADI2;TLR5;MPZL1;RALGPS2;C1QC	0.2168963657791969	0	0	ChEA_2022	pooled_ASD_up	RBPJ	0.6637477247735595
488	SOX2 16153702 ChIP-ChIP HESCs Human	0.14540011038423686	1.544065233826547	2.9773684222339503	GNA13;C1QA;SNX1;CDK6;UBE2D3;STAT3;LY96;NEDD9;BCAT1	0.21780221453048595	0	0	ChEA_2022	pooled_ASD_up	SOX2	0.6619377088158699
489	EBNA2 21746931 ChIP-Seq IB4-LCL Human	0.14658711182861567	1.4473429951690822	2.7790945314606965	GNA13;HERC4;PPME1;ELOVL5;SLC11A1;SNAP23;AAK1;PADI2;PHACTR2;ATP13A3;GPR155;DUSP16	0.219131244880814	0	0	ChEA_2022	pooled_ASD_up	EBNA2	0.6592956940418709
490	GATA2 21571218 ChIP-Seq MEGAKARYOCYTES Human	0.14721136395766507	1.502219755826859	2.8780816111360865	TNFAIP8;HSPH1;SEC14L1;ELOVL5;SNAP23;GNA12;SPP1;TXNIP;AGAP3;PIK3AP1	0.219615320516435	0	0	ChEA_2022	pooled_ASD_up	GATA2	0.6583373664821378
491	AR 20517297 ChIP-Seq VCAP Human	0.147757521945571	1.373134328358209	2.6256837267396986	ITGB1;TNFAIP8;SNAP23;ASAP1;SNX30;ELL2;GNA13;MYO1E;KLF6;RAB31;SCIN;STX6;TXNIP;HCLS1;GPR155;MPZL1	0.21998115792711284	0	0	ChEA_2022	pooled_ASD_up	AR	0.6576145162628966
492	TCF4 18268006 ChIP-ChIP LS174T Human	0.14827703959442165	1.830592877947947	3.494002954589982	RANBP2;HDAC4;NCK2;TXNIP;MPZL1	0.22030592671447607	0	0	ChEA_2022	pooled_ASD_up	TCF4	0.6569738192143247
493	ETV2 25802403 ChIP-Seq MESCs Mouse	0.15083071117573196	1.529907667603372	2.893969043669517	PPP1CB;FCGBP;P4HA1;NUFIP2;MITF;SNX30;CDC73;MPZL1;SNCA	0.2236455372605681	0	0	ChEA_2022	pooled_ASD_up	ETV2	0.6504397635429525
494	PAX3-FKHR 20663909 ChIP-Seq RHABDOMYOSARCOMA Human	0.15231860994117344	1.4900881057268722	2.8040192381674687	ITGB1;STARD13;CDK6;SCIN;VAPA;CHSY1;ARID5B;TXNIP;PPARG;RUNX1	0.22505814405321756	0	0	ChEA_2022	pooled_ASD_up	PAX3-FKHR	0.6477052668695693
