gene	logFC	logCPM	F	PValue	FDR	analysis	neglog10p	direction
CORO1C	0.562321382781716	6.61720254291901	14.287377420531	0.000382147272427753	0.116058276903562	pooled_retained	3.41776923584037	NS
REL	0.529263150527564	7.75050021753183	13.7949531531064	0.000471025712467203	0.116058276903562	pooled_retained	3.32695538485023	NS
SOAT1	0.516799729419848	7.17980591757911	14.0492676822733	0.000422710259167147	0.116058276903562	pooled_retained	3.37395721172714	NS
CTNNB1	0.477163671740841	7.65369159276874	14.898264417224	0.000295578434219012	0.116058276903562	pooled_retained	3.52932725580274	NS
SHOC2	0.426372874993281	7.34948586769332	13.5542228469936	0.000522079518234648	0.116058276903562	pooled_retained	3.28226334431495	NS
KDM4C	0.41524032665087	8.77493635710414	14.8157753793179	0.000305961356194126	0.116058276903562	pooled_retained	3.51433342270621	NS
ITGB1	0.490493350738818	6.68885664753845	13.3154831016117	0.000578435287796416	0.121449997166198	pooled_retained	3.23774522050642	NS
GLB1	0.402943790701499	6.91412102906717	13.2267523872179	0.000600967147471067	0.121449997166198	pooled_retained	3.22114926853304	NS
NEAT1	1.09186806903519	11.5261424712454	13.0618888240132	0.000652618777609288	0.126154047184822	pooled_retained	3.18534043454021	NS
HSPA1A	1.50693932554355	8.09611853587304	12.5093867150562	0.000829115322916555	0.127111956058173	pooled_retained	3.08138505856553	NS
RAB20	0.781813447619129	6.48850535611051	12.8554996551994	0.00070564800399359	0.127111956058173	pooled_retained	3.1514118825809	NS
OSBPL6	-0.497672523274121	8.00056218569566	12.7308935511411	0.000744910574924043	0.127111956058173	pooled_retained	3.12789586033638	NS
SYT17	0.492181125749168	8.18266937474341	12.5980881614841	0.000789276152789066	0.127111956058173	pooled_retained	3.10277101878158	NS
ZCCHC2	0.490256360295205	7.00834198982776	12.8089017568102	0.000720071635769885	0.127111956058173	pooled_retained	3.14262429596875	NS
DOCK11	0.38698958167189	8.63268148104493	12.5128812510491	0.000819185970981642	0.127111956058173	pooled_retained	3.08661749384069	NS
RFX3-AS1	-0.718365208552819	6.52106744758672	12.1823207060343	0.000946895096825093	0.131167993722519	pooled_retained	3.02369813228876	NS
PPP1CB	0.549627492286529	6.45745335605597	12.2115548867775	0.000934805208561389	0.131167993722519	pooled_retained	3.0292788764647	NS
STAT3	0.540211407247572	7.80940745707711	12.1780652694134	0.000948668514235455	0.131167993722519	pooled_retained	3.0228855131652	NS
RUFY3	0.38114314426521	7.67648248139273	12.1191475982568	0.00097358159982976	0.131167993722519	pooled_retained	3.01162764263329	NS
MPZL1	0.550645024982924	8.03562737596182	11.9298177477266	0.00105836933074305	0.138397354249517	pooled_retained	2.97536275355415	NS
PARP9	0.787635303664943	6.90196711517019	11.7254503063487	0.00116135695070365	0.139850903655775	pooled_retained	2.9350342764759	NS
PHACTR2	0.617583308246021	8.07213913430002	11.7152652838606	0.0011638514249356	0.139850903655775	pooled_retained	2.93410245735712	NS
ASAP1	0.569507768752796	8.09934709785484	11.7255514428088	0.00115855167171422	0.139850903655775	pooled_retained	2.93608459179207	NS
CEBPD	1.24123210243419	6.25694762302905	11.605950823009	0.00123319994746252	0.140584794010728	pooled_retained	2.90896650244759	NS
CHSY1	0.694116288891425	7.83516522116952	11.6384917938153	0.00120901782630584	0.140584794010728	pooled_retained	2.91756729565769	NS
KLF6	0.775761645862693	6.91293995130736	11.2082483676802	0.00146257644256979	0.155127341082296	pooled_retained	2.83488142595098	NS
UBXN2B	0.753125393609844	6.55413570885752	11.2514101249569	0.0014312295789626	0.155127341082296	pooled_retained	2.8442906968625	NS
SIN3B	-0.511323706595059	6.27453193019607	11.1490425552635	0.00149845571463486	0.155127341082296	pooled_retained	2.82435608766923	NS
PIK3AP1	0.425638132414675	8.55113566485012	11.1462549391436	0.00150033190880314	0.155127341082296	pooled_retained	2.82381265413348	NS
C1QC	1.38412801409135	6.74360759792718	10.7869326820906	0.00177864759141551	0.155149504228529	pooled_retained	2.74991009141279	NS
B2M	1.28844116803276	7.81280632388655	10.7294087438703	0.00182542429259355	0.155149504228529	pooled_retained	2.73863617421284	NS
SRGN	1.28340606241597	7.90125964020955	11.0738805064316	0.00156334825126115	0.155149504228529	pooled_retained	2.80594426781941	NS
STARD13	0.901965720135484	7.68418352463175	10.9913356858359	0.00162233394680773	0.155149504228529	pooled_retained	2.78985974425066	NS
TXNIP	0.760814340892403	6.98743674062713	10.9456236613405	0.00164702470639166	0.155149504228529	pooled_retained	2.78329988609492	NS
MGAT1	0.642675672963203	6.49870662685521	10.6855815962497	0.00184682674188255	0.155149504228529	pooled_retained	2.73357384553093	NS
HERC4	0.580957191032002	8.92182456162146	10.8333621086188	0.00172857484972734	0.155149504228529	pooled_retained	2.76231181015122	NS
CNDP2	0.52788527118541	6.36878226084538	10.682377660844	0.00184951050924697	0.155149504228529	pooled_retained	2.73294319660325	NS
SKAP2	0.376903426886657	9.12570046090042	10.8554901731833	0.00171018400309897	0.155149504228529	pooled_retained	2.76695716023274	NS
TAF1	-0.336109870645818	7.3971862515216	10.9060723596846	0.00167158110599643	0.155149504228529	pooled_retained	2.77687254636298	NS
PPARG	1.23495314227297	7.11750476175592	10.6115533506404	0.00192532926451651	0.155636616546189	pooled_retained	2.71549498795581	NS
FAM20C	1.03128992567241	6.24343799990246	10.6381142669732	0.00189958598199574	0.155636616546189	pooled_retained	2.7213410439565	NS
AC007262.2	0.833762969822513	7.17040672177625	10.4587411589882	0.0020605754469412	0.163594972091082	pooled_retained	2.68601147937265	NS
JAK3	1.28538647685375	7.09149308246723	10.1301530893609	0.00239685394291167	0.164353352535702	pooled_retained	2.62035842976282	NS
HSPD1	1.176318756011	7.06999036624472	10.3354416973971	0.00218247786272624	0.164353352535702	pooled_retained	2.66105015272874	NS
FCGBP	0.771933990975107	7.36235842900041	10.0878127444469	0.00243979335748005	0.164353352535702	pooled_retained	2.61264695542624	NS
CDK6	0.584753207951667	8.23326785162034	10.1772772586938	0.00233095965572773	0.164353352535702	pooled_retained	2.63246524318747	NS
