p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.27869549785509e-123,1.88070483065487,0.642,0.239,3.97827743292676e-119,13,GRIP1
1.25545183804558e-178,1.71473954064466,0.509,0.11,3.90596175852741e-174,13,C8orf34
3.16442435584535e-109,1.59520623753214,0.573,0.194,9.84515705590604e-105,13,ZNF385D
1.34836710947801e-221,1.58192933222636,0.479,0.081,4.19503975100799e-217,13,PLD5
1.01991307044623e-79,1.56565347203674,0.712,0.411,3.17315354477231e-75,13,GRIK2
1.49426503694587e-226,2.47732311945977,0.839,0.275,4.648957382946e-222,14,GPC5
1.43705155445832e-155,2.37781170020789,0.812,0.349,4.47095479623071e-151,14,SLC1A2
2.0918177892233e-286,2.28888010105456,0.812,0.187,6.50806350583153e-282,14,ADGRV1
3.46040607926438e-292,2.12732309488802,0.751,0.148,1.07660153938074e-287,14,ST18
0,2.09703593589336,0.708,0.09,0,14,RNF219-AS1
6.84579583091952e-253,1.98106239317542,0.747,0.172,2.12986399891568e-248,14,FBXL7
1.73372170333581e-201,1.97829538181491,0.817,0.263,5.39395496341838e-197,14,CTNNA3
8.77550147152405e-230,1.95163598946923,0.762,0.192,2.73023401782056e-225,14,RNF220
1.53729884588433e-277,1.91376309012721,0.749,0.152,4.78284416931531e-273,14,NKAIN3
2.59929985245915e-156,1.91248453528478,0.869,0.451,8.0869417009709e-152,14,NPAS3
1.87895509385495e-265,3.62473721022849,0.829,0.217,5.84580508800153e-261,15,GRIK1
1.24249235716959e-196,2.40500308853967,0.749,0.21,3.86564222162602e-192,15,KIAA1217
1.01470712395687e-248,2.29879963643141,0.708,0.141,3.15695680405461e-244,15,NXPH1
1.83770229249469e-128,2.11851236340642,0.928,0.594,5.71745937240948e-124,15,ROBO2
3.27075023787151e-151,2.09510108360228,0.734,0.239,1.01759581400658e-146,15,GRIP1
1.0649997755297e-168,2.07040322236248,0.767,0.246,3.313427301628e-164,15,XKR4
6.58029760518144e-123,2.00481602668919,0.724,0.273,2.04726219092405e-118,15,ROBO1
5.25850468469288e-158,1.96891364198364,0.729,0.219,1.63602597750165e-153,15,SPOCK3
4.55168785130357e-200,1.9225513320991,0.651,0.14,1.41612112429757e-195,15,SYNPR
1.0632813904578e-97,1.88970869616392,0.674,0.239,3.30808106199232e-93,15,AC092683.1
4.90462117227986e-81,2.77492704418581,0.813,0.497,1.52592573911971e-76,16,ERBB4
1.64264606622074e-122,2.54879817395027,0.692,0.195,5.11060044122598e-118,16,ZNF385D
1.63246744007153e-60,2.40787167251575,0.711,0.334,5.07893269955055e-56,16,CNTN5
3.16343696409651e-62,2.37904072360472,0.85,0.627,9.84208508269705e-58,16,DPP10
5.96992684389633e-109,2.24334774873922,0.718,0.241,1.85736363967303e-104,16,GRIP1
1.17998723790019e-144,2.14622557100857,0.663,0.146,3.67117629455507e-140,16,ZNF804A
2.47504051467782e-126,2.1311187937477,0.619,0.143,7.70034604926562e-122,16,NXPH1
2.19736197609037e-96,2.05696668258394,0.67,0.212,6.83643258001237e-92,16,KIAA1217
2.58456634010246e-76,2.0450055377491,0.777,0.425,8.04110279732678e-72,16,KAZN
2.91226269623942e-74,1.94252893491716,0.897,0.698,9.06063170054008e-70,16,CNTNAP2
1.67527985307502e-225,2.99646649901529,0.568,0.06,5.21213067888701e-221,17,FLT1
0,2.48195772957304,0.505,0.024,0,17,ABCB1
8.02943801539885e-118,2.47775782241937,0.432,0.063,2.49811875535089e-113,17,MECOM
1.61226635241293e-204,2.26534132325593,0.396,0.031,5.01608307562712e-200,17,ATP10A
5.36066837988944e-200,2.07977603429165,0.455,0.043,1.6678111463512e-195,17,EPAS1
2.33862389431232e-07,2.03220568526474,0.369,0.232,0.00727592665998448,17,PLPP1
9.12231772176596e-276,1.96282475737015,0.468,0.033,2.83813548959583e-271,17,CLDN5
7.38395703779716e-60,1.85162183184657,0.32,0.062,2.29729671359945e-55,17,WWTR1
2.87521248098677e-47,1.8257915597462,0.644,0.287,8.94536107084604e-43,17,PTPRG
6.99938565484444e-231,1.64149952801202,0.315,0.017,2.1776488649352e-226,17,VWF
0,3.47704877145413,0.566,0.027,0,18,BANK1
7.35316121530907e-25,3.08023130578706,0.383,0.147,2.28771551730696e-20,18,BACH2
2.11653864401706e-162,2.6859686706954,0.337,0.023,6.58497502926587e-158,18,EBF1
