gene	logFC	logCPM	F	PValue	FDR	analysis	neglog10p	direction
MSN	0.532522325383479	7.81960200195002	7.45124551147397	0.00821497627456632	0.284859852980232	cluster0	2.08539368650035	NS
HERC4	0.485194716754204	9.07089613172797	7.47748321756104	0.00810888544696724	0.284859852980232	cluster0	2.09103883475258	NS
CERS6	0.699793928003037	8.15269600713446	7.36695846866333	0.00860862406757064	0.28499276693424	cluster0	2.06506625709612	NS
NEBL	-0.634881965889373	7.04651377097999	7.41890225481128	0.00835275445574329	0.28499276693424	cluster0	2.07817028527475	NS
BCAT1	0.46419889544905	7.35139850632969	7.35726910259087	0.00860710193595754	0.28499276693424	cluster0	2.06514305355093	NS
PAPOLA	0.393317315112065	7.85507577430909	7.33324346665572	0.00871047886320431	0.28499276693424	cluster0	2.0599579687661	NS
DYM	0.308391888384169	8.55782508594602	7.31859821350186	0.00877413428986942	0.28499276693424	cluster0	2.05679572291683	NS
CPVL	0.791204527182344	7.88651746261324	7.18276394265119	0.0094334348881443	0.288873269546657	cluster0	2.02533014381128	NS
DNAJB6	0.645514050020223	8.26124782469624	7.08312072194783	0.00990978957328655	0.288873269546657	cluster0	2.00393556732408	NS
TNFRSF1B	0.622548137018164	8.26231718983656	6.93028427822098	0.0106888801904068	0.288873269546657	cluster0	1.97106779082499	NS
RUNX1	0.577379462109977	10.8899303783502	7.06502637620639	0.0099940259649097	0.288873269546657	cluster0	2.00025952657621	NS
POU2F2	0.561215484954104	8.76168956438273	7.07100731933766	0.0099427001847968	0.288873269546657	cluster0	2.00249565623563	NS
DENND3	0.551567991878643	9.21922649806529	7.0193171051774	0.0102105546609797	0.288873269546657	cluster0	1.99095066539008	NS
ATP6V1C1	0.542710120968996	7.33222872855578	7.04668452731526	0.0100493497364177	0.288873269546657	cluster0	1.99786203924073	NS
IRS2	0.536602413825294	7.55268725632643	6.88116398550108	0.010919994990657	0.288873269546657	cluster0	1.96177756085569	NS
HCLS1	0.509287828887996	7.8735113247796	6.97398711753933	0.0104223709596244	0.288873269546657	cluster0	1.98203347321006	NS
BNIP3L	0.477454708379568	7.92095378958843	6.95794734406833	0.0105066214506568	0.288873269546657	cluster0	1.97853691491602	NS
SYT17	0.473509894322474	8.3670800648311	7.03153076197331	0.0101259288039933	0.288873269546657	cluster0	1.99456513048873	NS
ATP11A	0.453883031175647	8.32722795863316	7.08844919732104	0.00984143456288912	0.288873269546657	cluster0	2.00694159086376	NS
NUFIP2	0.452764819866901	8.0612734983569	6.88599282187699	0.0108934996638225	0.288873269546657	cluster0	1.96283257566019	NS
SRSF11	-0.439405173341586	8.66438718976694	7.09408711277428	0.00981371664138259	0.288873269546657	cluster0	2.00816648587625	NS
COPA	0.422009768308684	7.47578210028566	6.92102293436712	0.010703310673767	0.288873269546657	cluster0	1.97048186858029	NS
RAB31	0.40607451457869	9.43919883020353	7.12260105970809	0.00967478635912069	0.288873269546657	cluster0	2.01435861639478	NS
AAK1	0.31637988612113	9.26204167201345	6.91315828903971	0.0107457033168866	0.288873269546657	cluster0	1.96876515423985	NS
SPG11	0.28843906120021	8.09562046280294	6.99279853438898	0.010324468453737	0.288873269546657	cluster0	1.98613229836902	NS
AL390729.1	-0.533385851266308	7.08267288810309	6.85930123988143	0.0110408066714636	0.289088876724241	cluster0	1.95699919470764	NS
RNF149	0.552827879372923	8.63460168154762	6.83702049052494	0.0111799484918239	0.289775230606264	cluster0	1.95156019732332	NS
SNX30	0.424995745732823	7.49414279825509	9.06842827335117	0.0113160691760349	0.290370335057055	cluster0	1.94630440633007	NS
ZCCHC2	0.500641401049514	7.2481559634822	6.65165502504735	0.0122610773629838	0.311504203103132	cluster0	1.91147136731828	NS
PTPN14	-0.595279431390955	7.47178114145786	6.58721361455471	0.0126757457888491	0.312749650905642	cluster0	1.89702647913834	NS
RALGAPA2	0.395924324493688	8.63591003899252	6.60176020981117	0.0125749962910844	0.312749650905642	cluster0	1.90049213436443	NS
NCOA5	-0.373078830576096	6.99679050857079	6.61100193754496	0.0125162167982749	0.312749650905642	cluster0	1.90252692287651	NS
TOP1	0.309744350913969	8.17013692026836	6.51914392219605	0.0131135900515984	0.320471162594299	cluster0	1.8822783970849	NS
PTPN2	0.680476362114216	8.00755166182544	6.41409767670708	0.013888869404723	0.32365832043534	cluster0	1.85733310568603	NS
TMEM132B	-0.61351612954467	7.10936928867955	6.47826840302156	0.0134181334168032	0.32365832043534	cluster0	1.87230789423885	NS
NAA16	0.574310465404739	7.54367652393957	6.42414905905592	0.0137658869001099	0.32365832043534	cluster0	1.86119580291101	NS
ARMCX4	-0.477912926583792	7.22543934124514	6.40376878154919	0.0139068826544404	0.32365832043534	cluster0	1.85677020988584	NS
ZBTB1	0.433761313058571	7.4857157415171	6.44263198199643	0.0136341496602759	0.32365832043534	cluster0	1.86537194311773	NS
UBA6	0.423793006062775	7.2101385354741	6.39057105239831	0.0140008080936566	0.32365832043534	cluster0	1.85384689714407	NS
HIBCH	0.793253981401411	8.38171300035797	6.34204013856566	0.0144398255210166	0.325251962998137	cluster0	1.84043805439225	NS
CCAR1	-0.368407079399541	7.9866553678997	6.3218307757652	0.0145009817913534	0.325251962998137	cluster0	1.83860259279037	NS
RNF169	0.366060803360421	7.08161016533339	6.31163498887723	0.0145767637353023	0.325251962998137	cluster0	1.83633888533965	NS
ENTPD1	-0.318721102553547	9.22054482037946	6.3276427631501	0.0144579697497607	0.325251962998137	cluster0	1.83989268825731	NS
PID1	-0.515760951708611	8.00354305414817	6.28939553195817	0.0147481577889736	0.32563169079844	cluster0	1.83126222457053	NS
NEDD4L	0.493872020001175	8.85479446105941	6.27626339594876	0.0148475868368735	0.32563169079844	cluster0	1.82834412604995	NS
PHACTR1	-0.447395173228445	9.0626272310723	6.19897589988897	0.0154425739898181	0.327484668246886	cluster0	1.81128030915538	NS
DHTKD1	-0.434444523794538	7.05080230013375	6.19904473124756	0.0154420286934361	0.327484668246886	cluster0	1.8112956449013	NS
SPOPL	0.392682154386882	7.52994595023184	6.22794913035467	0.0152148331991776	0.327484668246886	cluster0	1.81773280446742	NS
NUBPL	-0.320507471437473	7.35048621333484	6.22024160042954	0.0152750682254179	0.327484668246886	cluster0	1.81601684132395	NS
PDE3B	0.490828132238909	10.2803512943915	6.15425678454174	0.0158059899618781	0.329206123390892	cluster0	1.80117829820992	NS
PIK3AP1	0.385373869009807	8.67284227737244	6.11689294741523	0.0161075887031445	0.329206123390892	cluster0	1.79296946835162	NS
LRRC28	-0.366994254204866	7.12829078577242	6.11541851643993	0.0161198077858559	0.329206123390892	cluster0	1.79264014106938	NS
UBR1	0.333567088719903	7.67304016848129	6.10994835103729	0.016165226635718	0.329206123390892	cluster0	1.79141820222151	NS
ATP9B	-0.295147521938681	8.80815623269902	6.11190610332798	0.0161489558424137	0.329206123390892	cluster0	1.79185555299467	NS
ACER3	0.595097784714449	7.99702335735892	6.09121671072272	0.0163702087593561	0.330755556507935	cluster0	1.78594578225829	NS
FXR1	0.513905572202182	7.77752259880429	6.06194243663293	0.0165696831029968	0.332170365955389	cluster0	1.78068579743075	NS
CLTC	0.370571879940808	8.33061890542953	6.02966378383625	0.0168476530110496	0.335124632762428	cluster0	1.77346059065872	NS
PRDM11	-0.807130824077756	7.98791266785145	5.97348291429486	0.0174409025417668	0.341075352201008	cluster0	1.75843104470351	NS
TLR5	0.523767119214618	7.45345412036677	5.96693865946548	0.0174020434605281	0.341075352201008	cluster0	1.75939975105513	NS
DPH6	-0.422787868731943	7.84171402259088	5.95104405274078	0.0175455754055078	0.341075352201008	cluster0	1.75583238456803	NS
