p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
5.21872261623774e-55,0.415742014086742,0.503,0.459,1.62364898036388e-50,0,BACH1
1.15374741647784e-128,0.41490497179661,0.74,0.678,3.58953896214587e-124,0,ABR
7.15566599340229e-133,0.41485666776211,0.72,0.652,2.22627080386732e-128,0,FYB1
2.1613059510473e-92,0.412970631952422,0.61,0.546,6.72425507489836e-88,0,SH3RF3
9.17301166634787e-49,0.412914722709735,0.377,0.331,2.85390738963415e-44,0,GNB4
1.53155153558098e-77,0.412354306176479,0.151,0.087,4.76496313749954e-73,0,ISG15
1.69174663167592e-56,0.410679905837891,0.579,0.55,5.26336212047012e-52,0,ARHGAP22
2.0242681355045e-80,0.410200288759645,0.498,0.431,6.2979030231816e-76,0,SAMSN1
9.67729273720701e-48,0.410170724120602,0.416,0.37,3.01079931639985e-43,0,ENTPD1
7.63906775056467e-19,0.408852264153855,0.199,0.172,2.37666675855568e-14,0,LINC01268
3.45986398601734e-118,0.408288117799491,0.668,0.596,1.07643288332972e-113,0,ATP8B4
2.38763212119091e-49,0.40766861873087,0.558,0.53,7.42840105544914e-45,0,CSGALNACT1
2.84108278582561e-36,0.407598407663873,0.289,0.244,8.83917676326064e-32,0,KCNK13
7.62422254778628e-77,0.406965840807854,0.509,0.449,2.37204811906727e-72,0,FOXP2
7.1109695953922e-164,0.40669423500537,0.773,0.71,2.21236486051842e-159,0,ARHGAP26
4.37953302621017e-21,0.406533468808781,0.226,0.199,1.36256031511451e-16,0,SERPINB9
8.7362146417091e-49,0.404687174907092,0.41,0.362,2.71801109932854e-44,0,LPCAT2
1.142603614945e-21,0.404540790765997,0.34,0.315,3.55486836681689e-17,0,AP003481.1
1.44080564583096e-74,0.403422701143452,0.55,0.495,4.48263452530929e-70,0,LHFPL2
2.19828731337665e-20,0.402260716982759,0.246,0.221,6.83931148937742e-16,0,VSIR
7.88928724271633e-38,0.401812177513969,0.233,0.185,2.4545150469539e-33,0,LY6H
9.86428560803774e-151,0.401072467266416,0.739,0.669,3.0689765383727e-146,0,FAM49B
7.10528823319965e-38,0.400592257844562,0.292,0.247,2.21059727511307e-33,0,DYNLL1
4.11447362738662e-38,0.400587359747751,0.328,0.282,1.28009503495252e-33,0,TMSB10
3.49027292354826e-85,0.399881814002753,0.583,0.539,1.08589371197434e-80,0,GNAS
2.68504124118956e-35,0.3982953954805,0.19,0.146,8.35370030958896e-31,0,HK2
7.65210817885452e-45,0.397917616517073,0.377,0.332,2.38072389660522e-40,0,PIK3AP1
7.83574702857958e-52,0.396899005203885,0.664,0.641,2.43785761553168e-47,0,ST6GALNAC3
1.16070432208748e-57,0.396796790168944,0.482,0.432,3.61118328687857e-53,0,BNC2
7.78385166811947e-209,0.396257389682624,0.959,0.916,2.42171193098533e-204,0,FRMD4A
5.63325488499982e-43,0.395731177165591,0.362,0.316,1.75261825982114e-38,0,CSF3R
2.39662277139719e-97,0.395415044570846,0.673,0.628,7.45637276637095e-93,0,DIAPH2
7.81788874348544e-33,0.393696796550513,0.338,0.304,2.43230154587319e-28,0,RASSF4
8.23855784366557e-28,0.392738321588791,0.231,0.193,2.56318011632123e-23,0,S100Z
3.36216078839997e-12,0.39247927765189,0.165,0.146,1.046035464487e-07,0,USP39
8.81943146385236e-117,0.392423495251215,0.673,0.601,2.74390151703375e-112,0,SAT1
4.22196526252752e-39,0.391697933686969,0.415,0.379,1.31353783247756e-34,0,TGFBR2
1.71767389780957e-31,0.390640650342728,0.356,0.329,5.34402703086513e-27,0,SLC25A37
