Rank	Term	P_value	Z_score	Combined_score	Overlapping_genes	Adjusted_p_value	Old_p_value	Old_adjusted_p_value	Library
47	halothane 3562 rat GSE6433 sample 3652	0.09859655500274854	2.354768786127168	5.45533748641789	NTM;NRXN3;SPARCL1;NRCAM	0.8729903307535026	0	0	Drug_Perturbations_from_GEO_up
48	nicotinamide riboside 439924 mouse GSE62194 sample 3470	0.09859655500274854	2.354768786127168	5.45533748641789	PPP2R2B;SPARCL1;DLGAP1;NCAM2	0.8729903307535026	0	0	Drug_Perturbations_from_GEO_up
49	vitamin c DB00126 mouse GSE32994 sample 3508	0.10327905810785758	2.3139204545454546	5.2533413956820585	DPP10;GPM6A;CDH12;NRCAM	0.895787748894683	0	0	Drug_Perturbations_from_GEO_up
50	formaldehyde 712 rat GSE7002 sample 3537	0.106284222826077	2.70446735395189	6.062437942083994	SLC24A2;SYT1;CTNNA2	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
51	mepenzolate bromide CID 6461 mouse GSE50836 sample 2502	0.11792578198464769	2.199324324324324	4.701495209217778	NTRK2;DGKB;KCNIP4;CDH12	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
52	formaldehyde 712 rat GSE7002 sample 3548	0.12669533331392555	2.491465269562278	5.147292564992776	PLP1;SPARCL1;NCAM2	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
53	acrylamide 6579 rat GSE29004 sample 3109	0.12991175336981425	2.1176215277777777	4.321853520363274	GPM6A;PLP1;SPARCL1;CLU	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
54	cisplatin DB00515 human GSE47856 sample 3154	0.13519997933447359	2.0844017094017095	4.1708883796010765	FAM19A2;NRCAM;CSMD3;OPCML	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
55	fluoxetine 62857 mouse GSE6476 sample 2618	0.1578679284441617	2.240156731464222	4.135321466545218	GABRB1;CLU;DCLK1	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
56	letrozole 3902 human GSE5462 sample 3097	0.16146979126521727	2.2152908420498156	4.039443740857454	ERBB4;CLU;DCLK1	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
57	ethanol 702 human GSE44456 sample 3037	0.16752836925179598	2.175036027047999	3.885924963141723	CHRM3;RBFOX1;SYT1	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
58	cisplatin DB00515 human GSE47856 sample 3150	0.169652145408856	1.900175644028103	3.370921362722003	RIMS2;SLC1A2;NRXN3;NRCAM	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
59	dexamethasone DB01234 human GSE34313 sample 3169	0.1724233284901999	2.1438563258169103	3.7684762532151526	PCDH7;NRXN3;SPARCL1	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
60	resveratrol DB02709 human GSE41168 sample 3495	0.17488628361391853	2.1285946825827455	3.711458821931616	NTM;LRRC4C;LRP1B	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
61	vemurafenib DB08881 human GSE63790 sample 2509	0.18233463421580023	2.08406844510575	3.5469003257231084	PCDH7;DMD;LRP1B	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
62	phorbol ester 12-O-tetradecanoylphorbol-13-acetate (TPA) 27924 mouse GSE40849 sample 3256	0.1848365781724373	2.069631610428908	3.4941242895156175	NCAM1;GPC6;OPCML	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
63	angiotensin II 172198 mouse GSE29145 sample 3217	0.18609103047749584	2.0624868504102674	3.4681114734691603	FRMD5;SPARCL1;CLU	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
64	2,3,7,8-tetrachlorodibenzo-p-dioxin 10852289 rat GSE48100 sample 3111	0.18609103047749584	2.0624868504102674	3.4681114734691603	NELL1;SYT1;CLU	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
65	methamphetamine 10836 mouse GSE30305 sample 2609	0.18609103047749584	2.0624868504102674	3.4681114734691603	CADM1;ATRNL1;SPARCL1	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
66	BPDE 41322 human GSE19510 sample 3379	0.18986801084752547	2.0413412475268147	3.391537684750659	CNTN3;CLU;EDIL3	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
67	ethanol 702 human GSE44456 sample 3038	0.18986801084752547	2.0413412475268147	3.391537684750659	ANKRD30BL;CNTN3;MT3	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
68	Colorectal Adenocarcinoma DB00482 human GSE11237 sample 2458	0.19113146296985292	2.034387324430914	3.3664915310565995	CADM1;DMD;CLU	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
69	TRICHLOROETHYLENE 6575 mouse GSE24278 sample 3322	0.19113146296985292	2.034387324430914	3.3664915310565995	RYR2;LRFN5;PCDH7	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
70	imatinib DB00619 human GSE1418 sample 2521	0.1923971032910007	2.027479915870772	3.3416798199151025	PCDH9;CLU;PRKG1	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
71	permethrin DB04930 rat GSE7955 sample 3418	0.1923971032910007	2.027479915870772	3.3416798199151025	LINGO2;NELL1;DCC	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
72	cisplatin DB00515 human GSE47856 sample 3148	0.19249027851594158	1.8009259259259258	2.9674029870044745	SYT1;LRRTM4;NRXN3;PRKG1	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
73	TRICHLOROETHYLENE 6575 mouse GSE24278 sample 3323	0.19875726828631188	1.9936245252306022	3.2210412428282726	RYR2;NRXN3;FAM19A1	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
74	permethrin DB04930 rat GSE7955 sample 3417	0.20003552270751823	1.9869866486395134	3.1975787594305913	SYT1;SPOCK3;NCAM2	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
75	isoflurane 3763 rat GSE6433 sample 3653	0.20259805816508028	1.9738406259444574	3.1512982848471274	SPARCL1;NCAM1;DLGAP1	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
76	FGFR-specific PD173074 inhibitor 1401 human GSE52452 sample 3244	0.20259805816508028	1.9738406259444574	3.1512982848471274	CHRM3;TENM2;RGS6	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
77	cisplatin DB00515 human GSE47856 sample 3158	0.2099670228751722	1.7338508208422556	2.7062026741591647	FRMD5;PPP2R2B;CNTN1;CLU	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
78	imatinib DB00619 mouse GSE35559 sample 2525	0.21309854413880572	1.7225177304964538	2.663013396149757	PREX2;CADM1;CLU;GPC6	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
79	corticosterone 5753 rat GSE37618 sample 3094	0.21422412948850036	1.9167427900300145	2.9531878685208706	SLC24A2;GRIA2;NTM	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
80	coenzyme Q10 5281915 mouse GSE15129 sample 3450	0.21622165762859566	2.340768865685809	3.5847732993930266	PLP1;CLU	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
81	Monuron 8800 rat GSE51163 sample 2470	0.22074553109061706	1.8864052413527315	2.8498766900794466	GPM6A;TENM2;PPP2R2B	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
82	Laccaic Acid 5355255 human GSE45804 sample 2490	0.22205481159324553	1.8804507908048922	2.8297606976001686	PCDH9;SYT1;CDH12	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
83	acrylamide 6579 rat GSE29004 sample 3110	0.2233657042507756	1.8745332099198877	2.809822034934203	SLC24A2;SPARCL1;CLU	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
