Rank_candDown	Term_candDown	P_value_candDown	Z_score_candDown	Combined_score_candDown	Overlapping_genes_candDown	Adjusted_p_value_candDown	Old_p_value_candDown	Old_adjusted_p_value_candDown	Library_candDown	neglog10_adjP_down	neglog10_P_down	perturbagen_norm	Rank_refUp	Term_refUp	P_value_refUp	Z_score_refUp	Combined_score_refUp	Overlapping_genes_refUp	Adjusted_p_value_refUp	Old_p_value_refUp	Old_adjusted_p_value_refUp	Library_refUp	neglog10_adjP_up	neglog10_P_up	reversal_score	support_strength
23	imatinib DB00619 human GSE1922 sample 2520	0.004880388320191966	4.073671079076859	21.682238518397615	LYN;CEBPB;PELI1;DLEU2;TM6SF1;SAMSN1	0.1374996361514954	0	0	Drug_Perturbations_from_GEO_down	0.8616984510526775	2.311545620905678	imatinib db00619	70	imatinib DB00619 human GSE1418 sample 2521	0.1923971032910007	2.027479915870772	3.3416798199151025	PCDH9;CLU;PRKG1	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up	0.0453440157110845	0.7158014709375217	1.1572816501468892	0.907042466763762
22	Vitamin D3 DB00136 human GSE5145 sample 3170	0.0045162221780739725	4.1421727490488935	22.36806188219085	SH3RF3;ANKRD44;SLC9A9;GNB4;PDK4;PLA2G4A	0.1330232714269061	0	0	Drug_Perturbations_from_GEO_down	0.8760723758133793	2.3452247008617664	vitamin d3 db00136	129	Vitamin D3 DB00136 human GSE5145 sample 3170	0.43022550688120403	1.3800140745953553	1.1639670381116498	ZNF385B;DCLK1	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up	0.0453440157110845	0.3663038450657718	1.1567366807274888	0.9214163915244638
21	cetuximab DB00002 human GSE61495 sample 3136	0.004452502438682658	3.3060528559249787	17.899925595019603	MKLN1;SPRED1;CDK6;IFNGR1;TCF12;PLD1;FBXO11;IL13RA1	0.1330232714269061	0	0	Drug_Perturbations_from_GEO_down	0.8760723758133793	2.3513958339969747	cetuximab db00002	292	cetuximab DB00002 human GSE61495 sample 3134	0.7868328435807778	0.6489485014075178	0.15557855687003125	GABRB1	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up	0.0453440157110845	0.10411752027253096	1.10197143304336	0.9214163915244638
28	calcitriol 5280453 human GSE52819 sample 3129	0.00713732002223985	4.404255319148936	21.7676704141288	MEF2A;CX3CR1;SCIN;FOXN3;TGFBR1	0.1651779776575508	0	0	Drug_Perturbations_from_GEO_down	0.7820478554378393	2.1464648299662135	calcitriol	102	calcitriol 5280453 human GSE52819 sample 3126	0.31967013231944647	1.7608306480486933	2.0081668719746295	PCDH9;NTM	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up	0.0453440157110845	0.49529793918908316	1.065150244009958	0.8273918711489238
27	HYPOCHLOROUS ACID 24341 mouse GSE15457 sample 3385	0.006556169396638758	3.8206129221159477	19.207553712931627	CX3CR1;CEBPB;ST8SIA4;FOXN3;RIN2;TLR2	0.1573480655193302	0	0	Drug_Perturbations_from_GEO_down	0.8031385920545082	2.183349833766114	hypochlorous acid	227	HYPOCHLOROUS ACID 24341 mouse GSE15457 sample 3385	0.74007117960611	0.745576061365535	0.22442503662388644	FAM19A2	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up	0.0453440157110845	0.13072650807508152	1.0428023952611478	0.8484826077655927
29	vitamin c DB00126 mouse GSE19379 sample 3513	0.008711710464019293	4.1877264010227995	19.862751188533757	CDK6;RNF13;B3GNT5;TBC1D12;ETV6	0.19466166829946557	0	0	Drug_Perturbations_from_GEO_down	0.7107195589317319	2.0598965669033693	vitamin c db00126	49	vitamin c DB00126 mouse GSE32994 sample 3508	0.10327905810785758	2.3139204545454546	5.2533413956820585	DPP10;GPM6A;CDH12;NRCAM	0.895787748894683	0	0	Drug_Perturbations_from_GEO_up	0.04779488141334403	0.9859877314351418	1.009675366187234	0.7585144403450759
214	isoflurane DB00753 rat GSE1779 sample 2771	0.33432615261481924	1.7004496713939814	1.8630777151728841	RNF13;HNRNPC	0.8870033368773822	0	0	Drug_Perturbations_from_GEO_down	0.052074746363642295	0.47582964945572553	isoflurane db00753	20	isoflurane DB00753 rat GSE1779 sample 2770	0.00861657935013033	3.596725734257159	17.099075481654182	GPM6A;CADM1;ARPP21;ATRNL1;MT3;OPCML	0.1831023111902695	0	0	Drug_Perturbations_from_GEO_up	0.7373061738258521	2.0646651082121825	0.979002452157765	0.7893809201894944
30	doxycycline DB00254 human GSE41035 sample 3040	0.00914003972034554	4.136842105263158	19.422848265974604	GPR34;BLNK;HCLS1;OLR1;CPVL	0.19742485795946366	0	0	Drug_Perturbations_from_GEO_down	0.7045981657750403	2.0390519169259713	doxycycline db00254	95	doxycycline DB00254 human GSE11422 sample 2573	0.2920110215935288	1.8862700009581297	2.3219299603971795	PCDH9;FAM19A1	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up	0.0453440157110845	0.5346007563361099	0.9673899637498427	0.7499421814861248
43	ubiquinol 9962735 human GSE21351 sample 3448	0.0220354110775969	3.282936640965471	12.524746434880296	LYN;PTPRC;IFNGR1;HCLS1;TLR2	0.3320685204251812	0	0	Drug_Perturbations_from_GEO_down	0.4787722928858963	1.656878843176903	ubiquinol	37	ubiquinol 9962735 mouse GSE15129 sample 3453	0.04714157946075853	3.0638264669163546	9.358763946822073	GPM6A;PLP1;SPARCL1;XKR4	0.5414911154276317	0	0	Drug_Perturbations_from_GEO_up	0.26640866471254443	1.326595870695861	0.9640160614154644	0.7451809575984407
166	DAPT 5311272 rat GSE31668 sample 2648	0.2090384235293166	1.9417129262490087	3.039241302481562	FAM13A;OLR1;ARHGAP24	0.8160054123313082	0	0	Drug_Perturbations_from_GEO_down	0.08830696068507744	0.6797738785156157	dapt	23	DAPT 5311272 rat GSE31668 sample 2648	0.01424902216693844	3.68796992481203	15.677807224025056	GPM6A;PPP2R2B;MTUS2;CLU;RGS6	0.26329714873690596	0	0	Drug_Perturbations_from_GEO_up	0.5795538438735479	1.8462149379062667	0.8550312898236916	0.6678608045586254
35	estradiol 5757 human GSE24592 sample 3344	0.015255115376223987	3.6223453370267773	15.151692410019194	IFNGR1;FAM13A;ST8SIA4;BLNK;PELI1	0.2771168521517297	0	0	Drug_Perturbations_from_GEO_down	0.5573370629079055	1.81658450338913	estradiol	168	estradiol 5757 mouse GSE2195 sample 3625	0.5444127960509936	1.104584770196167	0.6716400120450526	SPARCL1;CLU	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up	0.0453440157110845	0.26407167555351846	0.7609144028396324	0.60268107861899
76	bleomycin DB00290 human GSE3598 sample 3588	0.07140609752868274	2.6504329004329006	6.995478421649434	CALCR;GPR34;GAB2;TLR2	0.6041959085574768	0	0	Drug_Perturbations_from_GEO_down	0.21882221997125725	1.1462647012491431	bleomycin db00290	32	bleomycin DB00290 human GSE3598 sample 3587	0.034225963665574836	2.9060362771335115	9.807206230666056	DPP10;RIMS2;NELL1;RYR2;PPP2R2B	0.4545635799334158	0	0	Drug_Perturbations_from_GEO_up	0.34240536330433674	1.4656443150347422	0.7292544297987489	0.561227583275594
512	Monuron 8800 rat GSE51163 sample 2468	0.7791014626792189	0.6644295302013423	0.16585090893193427	CEBPB	0.8870033368773822	0	0	Drug_Perturbations_from_GEO_down	0.052074746363642295	0.1084059803090797	monuron	24	Monuron 8800 rat GSE51163 sample 2468	0.017633781043819467	3.4857752489331437	14.075347262039388	GPM6A;PCDH9;ATRNL1;PDE1A;PLCB1	0.3122648726509697	0	0	Drug_Perturbations_from_GEO_up	0.5054768677450945	1.7536545560838	0.69996359581845	0.5575516141087368
257	isoflurane 3763 rat GSE6433 sample 3653	0.4267929515486765	1.3897392290249433	1.183302186246761	B4GALT1;PTPRJ	0.8870033368773822	0	0	Drug_Perturbations_from_GEO_down	0.052074746363642295	0.369782761526838	isoflurane	26	isoflurane 3763 rat GSE6433 sample 3654	0.021256722431626875	3.315112540192926	12.766770509702624	NTM;NRXN3;PLP1;SPARCL1;MT3	0.3474656551323624	0	0	Drug_Perturbations_from_GEO_up	0.4590881163217517	1.6725036984012454	0.6506635896448878	0.511162862685394
44	pyrazinamide 1046 mouse GSE48027 sample 3326	0.022832487547150497	3.2513697492943714	12.288782375121068	SCIN;OLR1;NPL;TLR2;C1QC	0.3329216053773538	0	0	Drug_Perturbations_from_GEO_down	0.4776580198277317	1.6414467705444047	pyrazinamide	243	pyrazinamide 1046 mouse GSE48027 sample 3326	0.7542024964760677	0.7155672245924953	0.20185749547863	RYR2	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up	0.0453440157110845	0.12251203437539197	0.6479084342448131	0.5230020355388162
