Rank_candDown	Term_candDown	P_value_candDown	Z_score_candDown	Combined_score_candDown	Overlapping_genes_candDown	Adjusted_p_value_candDown	Old_p_value_candDown	Old_adjusted_p_value_candDown	Library_candDown	neglog10_adjP_down	neglog10_P_down	perturbagen_norm	Rank_refUp	Term_refUp	P_value_refUp	Z_score_refUp	Combined_score_refUp	Overlapping_genes_refUp	Adjusted_p_value_refUp	Old_p_value_refUp	Old_adjusted_p_value_refUp	Library_refUp	neglog10_adjP_up	neglog10_P_up	reversal_score	support_strength
43	4-Hydroxytamoxifen 449459 human GSE26298 sample 3240	0.0001158822265351	5.193519908183985	47.06853943122217	SDCBP;HSPH1;CEBPD;CLTC;HLA-B;NEDD9;PHACTR2;TOP1;B2M	0.0022287116591757	0	0	Drug_Perturbations_from_GEO_down	2.6519461149782906	3.935983168951251	4-hydroxytamoxifen	588	4-Hydroxytamoxifen 449459 human GSE26298 sample 3240	0.9299271673110808	0.3750120189996346	0.027244252151255	SRSF11	0.97277212161185	0	0	Drug_Perturbations_from_GEO_up	0.0119888842099379	0.0315510644283707	3.1348928360219626	2.6639349991882284
39	Harman 5281404 human GSE5080 sample 3482	9.130578466264444e-05	4.082335643772317	37.97101388222222	PPP1CB;SDCBP;CHSY1;GLB1;PTGES3;CLTC;ADAM9;TXNIP;SHOC2;B2M;HIF1A;HSPA1A	0.0019361508696412	0	0	Drug_Perturbations_from_GEO_down	2.7130608044141007	4.039501706940148	harman	336	Harman 5281404 human GSE5080 sample 3482	0.7316960212186935	0.7633549288125073	0.238464539973938	ANKRD36B	0.97277212161185	0	0	Drug_Perturbations_from_GEO_up	0.0119888842099379	0.1356693065457572	3.1071444728460005	2.7250496886240385
46	estradiol 5757 human GSE24592 sample 3346	0.0001427171462443	5.04512697323267	44.67281279191848	MYO1E;TNFAIP8;RAB20;CEBPD;FAM13A;REL;ARID5B;NEDD9;INTS6	0.0025658060857403	0	0	Drug_Perturbations_from_GEO_down	2.5907761691127797	3.845523846983752	estradiol	21	estradiol 5757 human GSE24592 sample 3344	0.0843849612939752	2.209723007348785	5.463244202885845	MKNK1;C4ORF19;PMEPA1;METTL16;MARCH3	0.97277212161185	0	0	Drug_Perturbations_from_GEO_up	0.0119888842099379	1.07373494447612	3.1041256232707606	2.602765053322717
41	VX 39793 human GSE33606 sample 3376	0.0001047964429709	4.3334006951741975	39.70907708994213	SRGN;C1QB;HERC4;C1QA;TNFAIP8;FMNL2;TXNIP;HCLS1;MITF;CORO1C;C1QC	0.002113820935048	0	0	Drug_Perturbations_from_GEO_down	2.6749318052094435	3.979653458042255	vx	410	VX 39793 human GSE33606 sample 3376	0.8287055611895173	0.5675190928025919	0.1066313668865342	NR3C2	0.97277212161185	0	0	Drug_Perturbations_from_GEO_up	0.0119888842099379	0.081599746729105	3.085077773987668	2.6869206894193813
40	amoxicillin DB01060 rat GSE2354 sample 2678	0.0001019121673977	4.032582753969078	37.06507797774917	ITGB1;SDCBP;KLF6;HSPH1;PTGES3;CLTC;TXNIP;ANO6;B2M;HSPA1B;CORO1C;HSPD1	0.0021070340609488	0	0	Drug_Perturbations_from_GEO_down	2.676328443811668	3.991773962036252	amoxicillin db01060	194	amoxicillin DB01060 rat GSE2354 sample 2676	0.516597053285388	1.1629919393077288	0.7681469910574692	FCGRT;VCL	0.97277212161185	0	0	Drug_Perturbations_from_GEO_up	0.0119888842099379	0.2868480754092088	3.066649577709672	2.688317328021605
48	methylprednisolone 6741 rat GSE490 sample 3660	0.0001630718985758	4.472985347985348	39.01033370725525	DNAJA1;ITGB1;P4HA1;ACSL1;CLTC;UBQLN1;HSPA1B;RUNX1;HSPA1A;HSPD1	0.0028095929192134	0	0	Drug_Perturbations_from_GEO_down	2.551356600289372	3.787620872466332	methylprednisolone	37	methylprednisolone 6741 rat GSE490 sample 3671	0.1444609023440147	2.3348362600854293	4.5173160022205066	PABPC4;PMEPA1;NR1D2	0.97277212161185	0	0	Drug_Perturbations_from_GEO_up	0.0119888842099379	0.8402496767400047	2.998621981594068	2.56334548449931
49	rituximab DB00073 human GSE24742 sample 2514	0.0001672164053558	4.458466453674121	38.77181291920015	C1QA;PLSCR1;CEBPD;CHSY1;RGS1;SPP1;HLA-B;TXNIP;HIF1A;HSPD1	0.0028222034128434	0	0	Drug_Perturbations_from_GEO_down	2.5494116872890604	3.776721116813093	rituximab db00073	472	rituximab DB00073 human GSE24742 sample 2514	0.8775309437387309	0.4759750996984729	0.0621828438625096	HTRA1	0.97277212161185	0	0	Drug_Perturbations_from_GEO_up	0.0119888842099379	0.0567375603800437	2.949740529129625	2.5614005714989982
53	sapphyrin PCI-2050 (2.5 &Icirc;&frac14;M) 9855235 human GSE6400 sample 3102	0.0001952764215043	4.828144253676169	41.23763612264357	DNAJA1;VMP1;ITGB1;SDCBP;NUFIP2;TXNIP;MITF;ZC3HAV1;DCAF6	0.0030470490676242	0	0	Drug_Perturbations_from_GEO_down	2.516120552135422	3.70935019208718	sapphyrin pci-2050	568	sapphyrin PCI-2050 (2.5 &Icirc;&frac14;M) 9855235 human GSE6400 sample 3102	0.919569271192338	0.3957703927492447	0.0331853086693809	ANXA4	0.97277212161185	0	0	Drug_Perturbations_from_GEO_up	0.0119888842099379	0.0364155497718083	2.9408176506584898	2.5281094363453605
55	chromium 23976 human GSE6907 sample 3534	0.0002063781561826	4.790657862558082	40.652566226259175	DNAJA1;SDCBP;VAPA;ELOVL5;CLTC;HLA-B;PGK1;HIF1A;CORO1C	0.0030811276629368	0	0	Drug_Perturbations_from_GEO_down	2.5112903068241272	3.685336271925599	chromium	562	chromium 23976 human GSE6907 sample 3534	0.9183283921922948	0.3982170906346259	0.0339281863702332	PABPC4	0.97277212161185	0	0	Drug_Perturbations_from_GEO_up	0.0119888842099379	0.0370019882825595	2.930144135160359	2.523279191034065
50	rosiglitazone 77999 mouse GSE11343 sample 2672	0.0001846941585101	4.401306894997747	37.83719603900381	SRGN;C1QB;CEBPD;CHSY1;PTGES3;SPP1;ADAM9;TXNIP;MPZL1;C1QC	0.0030470490676242	0	0	Drug_Perturbations_from_GEO_down	2.516120552135422	3.73354684016856	rosiglitazone	449	Rosiglitazone 77999 mouse GSE7193 sample 3091	0.8637218839421303	0.5017675085813822	0.0735111756736723	ACSS1	0.97277212161185	0	0	Drug_Perturbations_from_GEO_up	0.0119888842099379	0.0636260766336934	2.9072165084921355	2.5281094363453605
