cluster	lineage	anchor_score	support_score	total_score	n_anchor_genes_used	n_support_genes_used
18	endothelial	-0.343444177763055	0.227276586871484	-0.20076398660442	5	4
0	neuronal	-0.0890915746882218	-0.361817587944345	-0.157273078002253	4	6
1	neuronal	0.940242223343375	0.554460458622329	0.843796782163113	4	6
2	neuronal	-0.791474391352394	-0.894966345731028	-0.817347379947052	4	6
3	neuronal	-0.749187421598548	-0.739918820595125	-0.746870271347692	4	6
4	neuronal	-0.690329808613064	-0.598346679830177	-0.667334026417342	4	6
5	neuronal	1.07280392604149	0.108943817894407	0.831838899004723	4	6
6	neuronal	0.656594283357929	0.682640692563712	0.663105885659374	4	6
7	neuronal	-0.786896907730963	-0.978842159633712	-0.834883220706651	4	6
8	neuronal	-0.875323057300635	-0.376950927694998	-0.750730024899226	4	6
9	neuronal	1.5677847131195	0.649903457136966	1.33831439912386	4	6
10	neuronal	0.350964126343834	-0.139445252018444	0.228361781753265	4	6
11	neuronal	-0.591240196887941	-0.385296546110756	-0.539754284193645	4	6
12	neuronal	-0.225788100628572	-0.10037125634344	-0.194433889557289	4	6
13	neuronal	0.384046936972678	1.04534670158847	0.549371878126625	4	6
14	neuronal	-1.21505595932864	-0.942820019046506	-1.1469969742581	4	6
15	neuronal	0.476128611440271	0.81680373131535	0.561297391409041	4	6
16	neuronal	0.250639449700091	0.796324611727533	0.387060740206951	4	6
17	neuronal	0.177837821295077	0.480454913865931	0.25349209443779	4	6
18	neuronal	0.137345326514731	0.383897210233836	0.198983297444507	4	6
0	astrocyte	-0.174788334085873	0.109513310442819	-0.1037129229537	3	3
1	astrocyte	-0.487278284967805	-0.357627874709926	-0.454865682403335	3	3
2	astrocyte	-0.673599781932226	0.00607091080280079	-0.503682108748469	3	3
3	astrocyte	-0.731022063720039	-0.47533105946781	-0.667099312656982	3	3
4	astrocyte	2.56757805296149	2.24845204470216	2.48779655089665	3	3
5	astrocyte	0.45928051238019	0.0192736412811826	0.349278794605438	3	3
6	astrocyte	-0.360623447064721	-0.290884466017679	-0.343188701802961	3	3
7	astrocyte	-0.496479347111383	0.173306438291922	-0.329032900760557	3	3
8	astrocyte	-0.252113492591209	-0.350700951765216	-0.27676035738471	3	3
9	astrocyte	-0.827343176504361	-0.798695755234753	-0.820181321186959	3	3
10	astrocyte	-0.395917992967767	-0.526450738359443	-0.428551179315686	3	3
11	astrocyte	0.884622028986995	-0.211401988574174	0.610616024596703	3	3
12	astrocyte	0.398986827704095	0.379331758684978	0.394073060449316	3	3
13	astrocyte	-0.589827251721345	-0.605387808523719	-0.593717390921938	3	3
14	astrocyte	1.7950965805796	2.36502954673627	1.93757982211876	3	3
15	astrocyte	-0.660730445118669	-0.516636622164439	-0.624706989380112	3	3
16	astrocyte	-0.409258550695335	-0.530286874422369	-0.439515631627094	3	3
17	astrocyte	0.0232148460573866	-0.23299514665406	-0.0408376521204751	3	3
18	astrocyte	-0.0697966801890143	-0.404578365048539	-0.153492101403896	3	3
0	oligodendrocyte	-0.43595977063447	-0.29947818461961	-0.401839374130755	3	3
1	oligodendrocyte	-0.0338974820954589	-0.0571168215721063	-0.0397023169646207	3	3
2	oligodendrocyte	-0.602946907442367	-0.617834844932691	-0.606668891814948	3	3
3	oligodendrocyte	3.27334147136214	3.2529912777345	3.26825392295523	3	3
4	oligodendrocyte	-0.408856953736742	-0.473761179434208	-0.425083010161108	3	3
5	oligodendrocyte	-0.405211228331507	-0.118213522226764	-0.333461801805321	3	3
6	oligodendrocyte	-0.277402250236417	-0.254661958454554	-0.271717177290951	3	3
7	oligodendrocyte	-0.58511847651698	-0.744311745143441	-0.624916793673595	3	3
8	oligodendrocyte	-0.000271227212240371	-0.118349400585644	-0.0297907705555913	3	3
9	oligodendrocyte	-0.590347203799232	-0.630220253060215	-0.600315466114477	3	3
10	oligodendrocyte	0.163777293481481	-0.0610522665006335	0.107569903485952	3	3
11	oligodendrocyte	-0.468669335218275	-0.40416076606395	-0.452542192929694	3	3
12	oligodendrocyte	-0.177691881121457	-0.24448018708408	-0.194388957612113	3	3
13	oligodendrocyte	-0.370744998649144	-0.254330793193906	-0.341641447285334	3	3
14	oligodendrocyte	2.04120883655322	1.99134188511291	2.02874209869314	3	3
15	oligodendrocyte	-0.49547846315227	-0.398822005950112	-0.47131434885173	3	3
16	oligodendrocyte	-0.410530712876744	-0.333657940054527	-0.39131251967119	3	3
17	oligodendrocyte	-0.218995566170676	0.0758038648952275	-0.1452957084042	3	3
18	oligodendrocyte	0.00379485579714519	-0.309685158866194	-0.0745751478686897	3	3
0	opc	-0.351355536503368	-0.280194909521363	-0.333565379757867	3	3
1	opc	-0.25430045101844	-0.115281337554974	-0.219545672652573	3	3
2	opc	-0.504325141434726	-0.503203061962442	-0.504044621566655	3	3
3	opc	-0.406407792043513	0.474363572762158	-0.186214950842095	3	3
4	opc	0.0709656202137589	-0.199249635102092	0.00341180638479612	3	3
5	opc	0.469159498789172	-0.33748495732194	0.267498384761394	3	3
6	opc	-0.33470266314123	-0.285227367351199	-0.322333839193722	3	3
7	opc	-0.553016308748308	-0.360852438642727	-0.504975341221913	3	3
8	opc	3.83246231716611	3.62313214238351	3.78012977347046	3	3
9	opc	-0.256678767482435	-0.434382400436062	-0.301104675720842	3	3
10	opc	-0.0710768085147867	-0.586783125128222	-0.200003387668145	3	3
11	opc	-0.365651083331965	-0.467822310958315	-0.391193890238553	3	3
