gene	logFC_baseline	FDR_baseline	logFC_neuronal_filtered	FDR_neuronal_filtered	direction_same
AC025159.1	-0.283402227953517	0.0359456098899264			
AC025569.1	0.112097187561677	0.128017734156053	0.102688003893356	0.193595373985082	TRUE
AC027097.2	-0.0539450187007945	0.649617767737138	-0.0609536051111627	0.627073755842194	TRUE
AC027644.4	0.0710587437506116	0.479982423939352	0.0427970685168153	0.698870877831542	TRUE
AC034195.1	-0.0509939070958895	0.745214209323734			
AC074327.1	0.0782014454257863	0.107561206403859	0.0702302445369025	0.175269050886822	TRUE
AC079015.1	0.225547023471988	0.0062220828705471	0.190028725877791	0.0319107731183543	TRUE
AC087564.1	0.140094799325103	0.0362781056629153	0.123975345588873	0.0849609751009915	TRUE
AC090517.4	0.126586482256321	0.278003926853276	0.162804283706185	0.181066668200375	TRUE
AC092535.3	-0.0749201119849137	0.634044396831273	-0.102726479243292	0.550470805934556	TRUE
AC092683.1	-0.629416733626125	1.81927937906101e-08	-0.639920724859109	4.76301507177155e-08	TRUE
AC092691.1	-0.489738759956547	0.000509479812828991	-0.586266917764548	2.90586047267451e-05	TRUE
AC093152.1	0.173237303051887	0.0107967602712876	0.186730413362679	0.00887998743396105	TRUE
AC096711.2	-0.0105430644204856	0.954104766966447			
AC097103.2	-0.00902946490308935	0.954386805360628	-0.0100883597478555	0.95572295800922	TRUE
AC097376.2	0.040001459852975	0.672951496204165	0.0240190077865037	0.814114901867998	TRUE
AC098850.3	-0.183639816253231	0.0168415739319904	-0.185026583407208	0.0207499479056217	TRUE
AC104123.1	0.0785976693584724	0.604169902351739	0.0957822796334777	0.571594788488369	TRUE
AC105402.3	-0.573890163625192	2.72049100788118e-06	-0.549534025107103	2.64126147905447e-05	TRUE
AC114763.1	0.0814953813432473	0.657240717216913			
AC116366.3	0.0833952946514978	0.520072286353925	0.0992625180331737	0.477506608239602	TRUE
AC118549.1	0.0391989633631608	0.7025037082933	0.032903412843621	0.758829064167871	TRUE
AC124312.1	-0.130855144268174	0.215386956867162	-0.132961621701683	0.220152112966431	TRUE
