gene	logFC_baseline	FDR_baseline	logFC_combined_filtered	FDR_combined_filtered	direction_same
TULP4	0.0581546834129405	0.487107691756362	0.0112259009729268	0.90691085666031	TRUE
TUT4	-0.0831348384299981	0.191877788077823	-0.0840492418579136	0.217213703015295	TRUE
TUT7	0.0180583957579359	0.866244977978982	0.00690963816919615	0.952356380958483	TRUE
TXNDC11	0.017016575419914	0.914142564482236	-0.00880384052391568	0.959243883228425	FALSE
TXNDC16	0.11405694298741	0.379149674345087	0.131797584042705	0.313644578766942	TRUE
TXNIP	0.104275513171297	0.438365624660177	0.120398286904183	0.346427618178684	TRUE
TXNRD1	-0.148528624106438	0.171574449631829	-0.156503478842319	0.203045944641597	TRUE
TYROBP	0.0176473981366052	0.905002517970174	-0.0327758165899634	0.831846365016608	FALSE
TYW1	0.0778071478660504	0.487050815279645	0.0436957338062189	0.738339422716365	TRUE
TYW1B	0.0375341318853674	0.756849541179199	-0.0101312220413781	0.940249228338977	FALSE
U2SURP	-0.0760680559069124	0.423584858017723	-0.0722971255187079	0.47850955791981	TRUE
UACA	-0.0170166670857174	0.93028014936865	-0.0147195168352297	0.944392344537128	TRUE
UBA2	-0.105415113362495	0.288464891204021	-0.124163975417977	0.223427726625373	TRUE
UBA3	0.165847047088142	0.0962456931325046	0.197550338948319	0.0610855030061556	TRUE
UBA6	0.160601684203188	0.0785302244700817	0.201885614479577	0.0282388925524944	TRUE
UBA6-AS1	-0.15398407794258	0.227510540516093	-0.161372481350267	0.253305158715986	TRUE
UBAC1	0.0223159144407899	0.865418213661325			
UBAC2	0.126929990600587	0.0590829710599905	0.115124053228059	0.103125473504085	TRUE
UBAP1	0.0611979988847944	0.545587144994259	0.0183738659666036	0.864629752010232	TRUE
UBAP2	-0.0422330801788815	0.772228045560879	-0.0435672956717524	0.78095494817569	TRUE
UBAP2L	0.0222408534620074	0.873055883080987	0.0181756038608042	0.902613539894639	TRUE
UBASH3B	0.205645533012573	0.00642013396645427	0.180260158735961	0.0193462593530828	TRUE
UBB	-0.427551965227476	2.66714931228529e-05			
UBC	-0.346024488409646	9.88051347642553e-07	-0.374672290262044	2.46759986705006e-07	TRUE
